experiment,path_family,session_id,trial,pair_id,raw_file,state_label,path_label,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,F_N,d_mm,Bx_uT,By_uT,Bz_uT,Bmag_uT,delta_Bx_from_B0_uT,delta_By_from_B0_uT,delta_Bz_from_B0_uT,summary_window_s,state_n_samples,state_duration_s,pair_delta_F_N,pair_delta_d_mm,pair_delta_Bvec_uT,pair_verdict,source_kind,source_state_csv,cycle_index,state_index,branch,path_mode,phase
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep1.csv,direct_target,direct_loading,340,,3.4,3.8,,5.0,,7.6895,3.39,-396.058,7162.117,7994.711,10741.7455,15.0804,3838.6988,5665.2576,10.0,113,9.919600000000003,-1.537,0.02,251.7621,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep1.csv,preload_deep_hold_005s,preload_deep,340,,3.4,3.8,,5.0,,11.8704,3.79,-385.24,7934.399,8781.696,11841.7549,25.8984,4610.9808,6452.2426,10.0,57,4.9271,-1.537,0.02,251.7621,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,1,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep1.csv,return_target,return_unloading,340,,3.4,3.8,,5.0,,6.1525,3.41,-405.674,7395.903,8087.64,10967.0977,5.4644,4072.4848,5758.1866,10.0,113,9.920099999999998,-1.537,0.02,251.7621,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,2,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep2.csv,direct_target,direct_loading,340,,3.4,3.8,,5.0,,8.0081,3.38,-392.452,7228.226,8093.448,10858.7275,16.2784,3883.5517,5717.8743,10.0,113,9.918600000000005,-1.5469,0.02,254.5544,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,2,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep2.csv,preload_deep_hold_005s,preload_deep,340,,3.4,3.8,,5.0,,12.3652,3.79,-379.832,8002.912,8852.357,11938.8198,28.8984,4658.2377,6476.7833,10.0,57,4.9276,-1.5469,0.02,254.5544,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,2,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep2.csv,return_target,return_unloading,340,,3.4,3.8,,5.0,,6.4612,3.4,-399.664,7466.221,8183.472,11085.0494,9.0664,4121.5467,5807.8983,10.0,113,9.918100000000003,-1.5469,0.02,254.5544,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,3,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep3.csv,direct_target,direct_loading,340,,3.4,3.8,,5.0,,7.6555,3.39,-393.053,7140.479,8007.296,10736.0483,15.0368,3795.8918,5629.3505,10.0,113,9.916799999999995,-1.4983,0.02,246.9864,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,3,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep3.csv,preload_deep_hold_005s,preload_deep,340,,3.4,3.8,,5.0,,11.8772,3.79,-381.634,7912.162,8773.952,11820.9673,26.4558,4567.5748,6396.0065,10.0,57,4.924,-1.4983,0.02,246.9864,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,3,1,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold005_rep3.csv,return_target,return_unloading,340,,3.4,3.8,,5.0,,6.1572,3.41,-402.068,7375.469,8082.799,10949.2761,6.0218,4030.8818,5704.8535,10.0,113,9.916600000000003,-1.4983,0.02,246.9864,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,1,2,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep1.csv,direct_target,direct_loading,340,,3.4,3.8,,30.0,,7.9754,3.38,-390.048,7210.797,8076.023,10834.1603,17.1167,3866.7475,5694.342,10.0,113,9.916399999999996,-1.6085,0.02,238.1463,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,1,2,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep1.csv,preload_deep_hold_030s,preload_deep,340,,3.4,3.8,,30.0,,12.1962,3.79,-379.832,7980.074,8833.002,11909.4876,27.3327,4636.0245,6451.321,10.0,113,9.916200000000003,-1.6085,0.02,238.1463,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,1,2,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep1.csv,return_target,return_unloading,340,,3.4,3.8,,30.0,,6.3669,3.4,-399.664,7436.773,8150.562,11040.0643,7.5007,4092.7235,5768.881,10.0,113,9.9159,-1.6085,0.02,238.1463,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,2,2,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep2.csv,direct_target,direct_loading,340,,3.4,3.8,,30.0,,7.9384,3.38,-388.846,7205.986,8067.312,10823.8434,18.2949,3858.7891,5682.6125,10.0,113,9.914499999999997,-1.5898,0.02,234.9478,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,2,2,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep2.csv,preload_deep_hold_030s,preload_deep,340,,3.4,3.8,,30.0,,12.1639,3.79,-376.826,7972.864,8822.352,11897.5163,30.3149,4625.6671,6437.6525,10.0,113,9.9158,-1.5898,0.02,234.9478,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,2,2,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep2.csv,return_target,return_unloading,340,,3.4,3.8,,30.0,,6.3486,3.4,-397.26,7428.96,8140.88,11028.4447,9.8809,4081.7631,5756.1805,10.0,113,9.915599999999998,-1.5898,0.02,234.9478,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,3,2,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep3.csv,direct_target,direct_loading,340,,3.4,3.8,,30.0,,7.9141,3.38,-388.245,7201.781,8062.472,10817.1384,18.1803,3856.1063,5676.9255,10.0,113,9.915500000000002,-1.5719,0.02,237.554,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,3,2,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep3.csv,preload_deep_hold_030s,preload_deep,340,,3.4,3.8,,30.0,,12.1447,3.79,-376.826,7966.855,8817.514,11889.9398,29.5992,4621.1803,6431.9675,10.0,113,9.917200000000001,-1.5719,0.02,237.554,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,3,2,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold030_rep3.csv,return_target,return_unloading,340,,3.4,3.8,,30.0,,6.3422,3.4,-396.058,7426.554,8138.944,11025.4455,10.3673,4080.8793,5753.3975,10.0,113,9.915400000000005,-1.5719,0.02,237.554,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,1,3,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep1.csv,direct_target,direct_loading,340,,3.4,3.8,,90.0,,7.5741,3.39,-387.645,7117.64,7969.544,10692.1411,18.1793,3774.9268,5584.2011,10.0,113,9.915500000000002,-1.5473,0.02,250.7213,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,1,3,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep1.csv,preload_deep_hold_090s,preload_deep,340,,3.4,3.8,,90.0,,11.4337,3.79,-375.624,7885.719,8742.01,11779.0803,30.2002,4543.0058,6356.6671,10.0,113,9.915500000000009,-1.5473,0.02,250.7213,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,1,3,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep1.csv,return_target,return_unloading,340,,3.4,3.8,,90.0,,6.0268,3.41,-396.058,7355.637,8047.952,10910.1679,9.7663,4012.9238,5662.6091,10.0,113,9.914699999999996,-1.5473,0.02,250.7213,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,2,3,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep2.csv,direct_target,direct_loading,340,,3.4,3.8,,90.0,,8.3749,3.38,-385.24,7309.359,8170.89,10970.4322,21.7435,3944.8827,5760.7689,10.0,113,9.9144,-1.7223,0.02,232.4889,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,2,3,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep2.csv,preload_deep_hold_090s,preload_deep,340,,3.4,3.8,,90.0,,12.656,3.79,-375.624,8076.234,8904.634,12027.6702,31.3595,4711.7577,6494.5129,10.0,113,9.915999999999997,-1.7223,0.02,232.4889,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,2,3,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep2.csv,return_target,return_unloading,340,,3.4,3.8,,90.0,,6.6526,3.4,-394.255,7528.727,8247.359,11174.0392,12.7285,4164.2507,5837.2379,10.0,113,9.9146,-1.7223,0.02,232.4889,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,3,3,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep3.csv,direct_target,direct_loading,340,,3.4,3.8,,90.0,,7.8213,3.38,-386.442,7187.959,8045.047,10794.5844,19.626,3830.9693,5645.3046,10.0,113,9.913599999999995,-1.5996,0.02,240.0837,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,3,3,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep3.csv,preload_deep_hold_090s,preload_deep,340,,3.4,3.8,,90.0,,11.8543,3.79,-376.225,7957.237,8800.09,11870.3061,29.843,4600.2473,6400.3476,10.0,113,9.914500000000004,-1.5996,0.02,240.0837,strong,,,,,,,
3.3B same-d preload-hold-time dosage,same_d_different_F,session_20260612_180059,3,3,decouple_data\session_20260612_180059\same_d_path_hold_time_B_340_pre380_hold090_rep3.csv,return_target,return_unloading,340,,3.4,3.8,,90.0,,6.2217,3.4,-394.856,7416.338,8118.616,11003.6386,11.212,4059.3483,5718.8736,10.0,113,9.913699999999999,-1.5996,0.02,240.0837,strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260612_203004,1,1,decouple_data\session_20260612_203004\same_f_path_dosage_A_extra020_375_rep1.csv,loading_target,direct_loading,,,,,0.2,,,3.6218,2.54,-421.901,5884.391,6242.632,8589.5826,-16.3743,2540.707,3829.2672,10.0,111,9.913899999999998,0.0243,0.1,270.1507,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260612_203004,1,1,decouple_data\session_20260612_203004\same_f_path_dosage_A_extra020_375_rep1.csv,preload_deep,preload_deep,,,,,0.2,,,4.507899999999999,2.72,-411.684,6118.178,6620.152,9023.971249999999,-6.1573,2774.494,4206.7872,10.0,112,9.913900000000002,0.0243,0.1,270.1507,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260612_203004,1,1,decouple_data\session_20260612_203004\same_f_path_dosage_A_extra020_375_rep1.csv,unloading_target,return_unloading,,,,,0.2,,,3.6461,2.64,-417.093,6045.458,6459.463,8856.9488,-11.5663,2701.774,4046.0982,10.0,113,9.913699999999999,0.0243,0.1,270.1507,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_141828,1,2,decouple_data\session_20260613_141828\same_f_path_dosage_A_extra020_375_rep1.csv,loading_target,direct_loading,,,,,0.2,,,3.6419,2.6,-557.727,5970.933,6162.288,8597.6964,-88.1809,2691.7913,3888.6919,10.0,113,9.913699999999999,0.0019,0.12,332.3789,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_141828,1,2,decouple_data\session_20260613_141828\same_f_path_dosage_A_extra020_375_rep1.csv,preload_deep,preload_deep,,,,,0.2,,,4.4022,2.79,-554.722,6227.559,6546.584,9052.0133,-85.1759,2948.4173,4272.9879,10.0,113,9.915000000000003,0.0019,0.12,332.3789,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_141828,1,2,decouple_data\session_20260613_141828\same_f_path_dosage_A_extra020_375_rep1.csv,unloading_target,return_unloading,,,,,0.2,,,3.6438,2.72,-558.329,6168.663,6429.455,8927.6575,-88.7829,2889.5213,4155.8589,10.0,113,9.914100000000005,0.0019,0.12,332.3789,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_162917,3,3,decouple_data\session_20260613_162917\same_f_path_dosage_A_extra020_375_rep3.csv,loading_target,direct_loading,,,,,0.2,,,3.70465,2.56,-563.136,5897.01,6245.536,8608.5092,-89.0824,2563.1774,3799.897,10.0,114,9.9985,-0.0259,0.1,287.6495,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_162917,3,3,decouple_data\session_20260613_162917\same_f_path_dosage_A_extra020_375_rep3.csv,preload_deep,preload_deep,,,,,0.2,,,4.55175,2.74,-562.2345,6147.326,6634.672,9062.5217,-88.1809,2813.4934000000003,4189.033,10.0,112,9.997999999999998,-0.0259,0.1,287.6495,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_162917,3,3,decouple_data\session_20260613_162917\same_f_path_dosage_A_extra020_375_rep3.csv,unloading_target,return_unloading,,,,,0.2,,,3.67875,2.66,-564.338,6065.288,6478.824,8892.45895,-90.2844,2731.4554,4033.185,10.0,112,9.997499999999995,-0.0259,0.1,287.6495,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_174105,1,1,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep1.csv,loading_target,direct_loading,,,,,0.3,,,3.64435,2.52,-574.555,5973.336,6273.608,8681.5782,-90.0903,2622.428,3850.4093,10.0,114,9.9983,-0.04265,0.1,308.7527,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_174105,1,1,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep1.csv,preload_deep,preload_deep,,,,,0.3,,,4.9005,2.81,-574.555,6377.808,6877.64,9397.536,-90.0903,3026.9,4454.4413,10.0,113,9.9984,-0.04265,0.1,308.7527,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_174105,1,1,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep1.csv,unloading_target,return_unloading,,,,,0.3,,,3.6017,2.62,-578.162,6167.461,6513.672,8989.17575,-93.6973,2816.553,4090.4733,10.0,114,9.998199999999997,-0.04265,0.1,308.7527,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_174105,2,2,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep2.csv,loading_target,direct_loading,,,,,0.3,,,3.60615,2.54,-572.452,5922.855,6240.695,8622.884150000002,-91.7565,2566.5658,3777.0198,10.0,114,9.998199999999997,0.0145,0.14,402.7982,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_174105,2,2,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep2.csv,preload_deep,preload_deep,,,,,0.3,,,4.8719,2.83,-572.752,6319.512,6840.856,9330.45715,-92.0565,2963.2228,4377.1808,10.0,112,9.9098,0.0145,0.14,402.7982,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_174105,2,2,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep2.csv,unloading_target,return_unloading,,,,,0.3,,,3.62065,2.68,-575.757,6165.656,6562.072,9022.42135,-95.0615,2809.3668,4098.3968,10.0,112,9.998600000000003,0.0145,0.14,402.7982,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_174105,3,3,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep3.csv,loading_target,direct_loading,,,,,0.3,,,3.6908,2.54,-572.152,5943.288,6292.0,8673.2715,-91.5361,2580.5431,3809.6571,10.0,111,9.999400000000001,-0.0197,0.1,300.0899,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_174105,3,3,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep3.csv,preload_deep,preload_deep,,,,,0.3,,,5.013,2.83,-572.152,6336.341,6892.16,9379.4499,-91.5361,2973.5961,4409.8171,10.0,113,9.9984,-0.0197,0.1,300.0899,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_174105,3,3,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep3.csv,unloading_target,return_unloading,,,,,0.3,,,3.6711,2.64,-576.358,6130.799,6526.256,8973.6297,-95.7421,2768.0541,4043.9131,10.0,109,9.998700000000007,-0.0197,0.1,300.0899,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_192031,1,1,decouple_data\session_20260613_192031\same_f_path_dosage_A_extra040_375_rep1.csv,loading_target,direct_loading,,,,,0.4,,,3.6258,2.52,-577.56,5951.703,6262.96,8658.3375,-91.1172,2609.603,3831.3505,10.0,113,9.997700000000002,0.04095,0.21,585.1208,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_192031,1,1,decouple_data\session_20260613_192031\same_f_path_dosage_A_extra040_375_rep1.csv,preload_deep,preload_deep,,,,,0.4,,,5.3740000000000006,2.9,-584.772,6517.842,7067.367,9631.4392,-98.3292,3175.742,4635.7575,10.0,114,9.997499999999999,0.04095,0.21,585.1208,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_192031,1,1,decouple_data\session_20260613_192031\same_f_path_dosage_A_extra040_375_rep1.csv,unloading_target,return_unloading,,,,,0.4,,,3.66675,2.73,-585.974,6314.704,6721.791,9240.642749999999,-99.5312,2972.604,4290.1815,10.0,114,9.997499999999995,0.04095,0.21,585.1208,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_192031,2,2,decouple_data\session_20260613_192031\same_f_path_dosage_A_extra040_375_rep2.csv,loading_target,direct_loading,,,,,0.4,,,3.6956,2.54,-576.959,6057.778,6443.008,8862.92435,-93.9829,2696.1076000000003,3957.8316,10.0,114,9.997399999999999,0.03165,0.13,350.8342,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_192031,2,2,decouple_data\session_20260613_192031\same_f_path_dosage_A_extra040_375_rep2.csv,preload_deep,preload_deep,,,,,0.4,,,5.901199999999999,2.92,-583.2695000000001,6635.64,7228.056,9829.351200000001,-100.2934,3273.9696,4742.8796,10.0,114,9.9972,0.03165,0.13,350.8342,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_192031,2,2,decouple_data\session_20260613_192031\same_f_path_dosage_A_extra040_375_rep2.csv,unloading_target,return_unloading,,,,,0.4,,,3.7272499999999997,2.67,-584.4715000000001,6302.085,6694.687,9212.882450000001,-101.4954,2940.4146,4209.5106,10.0,114,9.997,0.03165,0.13,350.8342,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_194759,1,3,decouple_data\session_20260613_194759\same_f_path_dosage_A_extra040_375_rep1.csv,loading_target,direct_loading,,,,,0.4,,,3.75155,2.62,-578.762,6090.228999999999,6491.408,8919.4519,-91.4037,2730.6721,4029.3484,10.0,114,9.997600000000006,0.0158,0.11,328.2624,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_194759,1,3,decouple_data\session_20260613_194759\same_f_path_dosage_A_extra040_375_rep1.csv,preload_deep,preload_deep,,,,,0.4,,,5.955,3.0,-584.772,6680.712,7275.488,9894.9187,-97.4137,3321.1551,4813.4284,10.0,114,9.997799999999998,0.0158,0.11,328.2624,formal_strong,,,,,,,
3.4A same-F preload-depth dosage,same_F_different_d,session_20260613_194759,1,3,decouple_data\session_20260613_194759\same_f_path_dosage_A_extra040_375_rep1.csv,unloading_target,return_unloading,,,,,0.4,,,3.76735,2.73,-585.373,6324.922,6720.824,9247.35495,-98.0147,2965.3651,4258.7644,10.0,114,9.998400000000004,0.0158,0.11,328.2624,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_142325,1,1,decouple_data\session_20260614_142325\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,loading_target,direct_loading,,3.75,,,0.4,5.0,,3.6917,2.61,-575.757,5609.735,5962.88,8206.827700000002,-127.8114,2568.3079,3892.172,10.0,114,9.999299999999998,-0.03575,0.12,336.5312,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_142325,1,1,decouple_data\session_20260614_142325\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,preload_deep,preload_deep,,3.75,,,0.4,5.0,,5.7775,3.0,-556.8254999999999,6075.506,6734.375,9086.984799999998,-108.8799,3034.0789,4663.667,10.0,60,4.9594,-0.03575,0.12,336.5312,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_142325,1,1,decouple_data\session_20260614_142325\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,unloading_target,return_unloading,,3.75,,,0.4,5.0,,3.65595,2.73,-568.545,5817.9794999999995,6227.144,8540.70615,-120.5994,2776.5524,4156.436,10.0,114,9.999400000000001,-0.03575,0.12,336.5312,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_145304,1,2,decouple_data\session_20260614_145304\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,loading_target,direct_loading,,3.75,,,0.4,5.0,,3.60495,2.34,-574.555,5454.072,5959.008,8098.99985,-114.2457,2317.1279,3673.0153,10.0,114,9.999099999999999,0.02845,0.2,550.0526,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_145304,1,2,decouple_data\session_20260614_145304\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,preload_deep,preload_deep,,3.75,,,0.4,5.0,,5.343,2.73,-560.4314999999999,5916.842,6755.672,8997.6521,-100.1222,2779.8979,4469.6793,10.0,60,4.9571,0.02845,0.2,550.0526,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_145304,1,2,decouple_data\session_20260614_145304\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,unloading_target,return_unloading,,3.75,,,0.4,5.0,,3.6334,2.54,-566.141,5758.781,6416.872,8640.760549999999,-105.8317,2621.8369,4130.8793,10.0,114,9.998599999999996,0.02845,0.2,550.0526,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_150342,1,3,decouple_data\session_20260614_150342\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,loading_target,direct_loading,,3.75,,,0.4,5.0,,3.6772,2.34,-576.358,5500.952,6054.356,8200.39225,-114.273,2351.0529,3739.8428,10.0,114,9.999500000000005,0.0433,0.2,553.1068,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_150342,1,3,decouple_data\session_20260614_150342\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,preload_deep,preload_deep,,3.75,,,0.4,5.0,,5.4607,2.73,-562.2345,5958.912,6850.536,9096.198199999999,-100.1495,2809.0129,4536.0228,10.0,58,4.9579,0.0433,0.2,553.1068,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_150342,1,3,decouple_data\session_20260614_150342\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,unloading_target,return_unloading,,3.75,,,0.4,5.0,,3.7205,2.54,-567.343,5803.856,6517.0599999999995,8745.019499999999,-105.258,2653.9569,4202.5468,10.0,112,9.999900000000004,0.0433,0.2,553.1068,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_171435,1,1,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep1.csv,loading_target,direct_loading,,3.75,,,0.4,30.0,,3.7401,2.36,-572.152,5556.242,6323.944,8437.44425,-103.2178,2348.575,3865.1473,10.0,114,9.998400000000004,0.0094,0.12,352.2533,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_171435,1,1,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep1.csv,preload_deep,preload_deep,,3.75,,,0.4,30.0,,5.947649999999999,2.74,-557.727,6003.386,7109.96,9322.08935,-88.7928,2795.719,4651.1633,10.0,114,9.9982,0.0094,0.12,352.2533,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_171435,1,1,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep1.csv,unloading_target,return_unloading,,3.75,,,0.4,30.0,,3.7495,2.48,-565.54,5770.2,6603.695,8787.44615,-96.6058,2562.533,4144.8983,10.0,114,9.997300000000003,0.0094,0.12,352.2533,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_171435,2,2,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep2.csv,loading_target,direct_loading,,3.75,,,0.4,30.0,,3.7644,2.34,-570.348,5539.715,6335.562,8435.0515,-103.0615,2327.1403,3846.6099,10.0,114,9.997800000000005,-0.0339,0.1,293.5233,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_171435,2,2,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep2.csv,preload_deep,preload_deep,,3.75,,,0.4,30.0,,6.0284,2.72,-555.6234999999999,5980.549,7120.608,9315.93175,-88.337,2767.9743,4631.6559,10.0,114,9.997300000000003,-0.0339,0.1,293.5233,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_171435,2,2,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep2.csv,unloading_target,return_unloading,,3.75,,,0.4,30.0,,3.7305,2.44,-564.338,5723.922,6564.008,8727.012999999999,-97.0515,2511.3473,4075.0559,10.0,114,9.997799999999998,-0.0339,0.1,293.5233,formal_strong,,,,,,,
3.4B same-F preload-hold-time dosage,same_F_different_d,session_20260614_171435,3,3,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep3.csv,loading_target,direct_loading,,3.75,,,0.4,30.0,,3.7726,2.36,-568.545,5525.592,6339.432,8428.6145,-101.7202,2313.1169,3842.9988,10.0,114,9.997099999999996,0.0156,0.12,347.7529,formal_strong,,,,,,,
