model,model_family,train_n_states,heldout_n_states,F_MAE_N,F_RMSE_N,F_R2,d_MAE_mm,d_RMSE_mm,d_R2,F_MAE_vs_plain_pct,d_MAE_vs_plain_pct,F_MAE_vs_lim_style_pct,d_MAE_vs_lim_style_pct,balanced_relative_error,passes_current_F_goal,passes_ideal_F_goal,passes_d_goal
apmd_local_identifiability_ridge,APMD local identifiability,561,78,0.05425307344320501,0.07998399891951856,0.9993408060239567,0.05575573361325759,0.06694706841580765,0.9000008058693343,96.99687705655002,-23.64752117857951,93.53353621929236,-60.6612520479007,1.2665064412202949,True,True,False
apmd_local_identifiability_random_forest,APMD local identifiability,561,78,0.06221936139430168,0.1708392565985149,0.9969926612604544,0.0651551094831092,0.08669753679473577,0.8322946608788622,96.55591140056534,-44.492185065426035,92.58402849128535,-87.7457400073616,1.4793627366486068,True,True,False
apmd_path_memory_ridge,APMD path memory,561,78,0.7962576316896831,0.9766012857410354,0.9017253317753903,0.06344254158457929,0.07743134751771462,0.8662274498497848,55.92397976996213,-40.69428372361891,5.093466440687431,-82.81094164736957,1.847703039536568,False,False,False
lim_style_branch_ridge,Lim-style branch compensation,561,78,0.8389913758593404,1.0387995760327926,0.8888087710589453,0.03470390831800201,0.04336007060793443,0.9580517996832465,53.558497421579276,23.038368242197972,0.0,0.0,1.2340313433622276,False,False,True
apmd_path_memory_random_forest,APMD path memory,561,78,1.3398004997593618,1.7035940209202745,0.7009531602806395,0.0727457951030466,0.08999491400951207,0.8192953599088699,25.836724721499927,-61.3257804667782,-59.69180832008739,-109.61845114520159,2.3548905574527828,False,False,False
plain_magnetic_ridge,plain magnetic,561,78,1.8065551915393492,2.069285834528959,0.5587873329235188,0.04509247988298258,0.05381988820907681,0.9353722621847623,0.0,0.0,-115.32464379493503,-29.93487497081615,2.0,False,False,True
