session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,trial,pair_id,target_label,nominal_d_target_mm,nominal_d_preload_mm,direct_motion_depth_mm,return_motion_depth_mm,F_direct_N,F_return_N,Bmag_direct_uT,Bmag_return_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,artifact_gate_uT,artifact_ok,verdict
session_20260616_152850,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,340,3.4000,3.8000,5.0100,5.0100,0.045900,0.035100,3701.6324,3702.6519,+1.0195,-0.6010,+1.2020,+0.9690,1.6568,10.0,1,low_motion_artifact
session_20260616_152850,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,340,3.4000,3.8000,5.0100,5.0100,0.043300,0.034000,3700.4737,3700.2514,-0.2222,-0.6010,+0.6020,-0.9680,1.2887,10.0,1,low_motion_artifact
session_20260616_152850,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,1,340,3.4000,3.8000,5.0100,5.0100,0.042600,0.033500,3699.1156,3699.6749,+0.5593,-0.6010,+0.0000,+1.9370,2.0281,10.0,1,low_motion_artifact
