time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,nominal_d_mm,nominal_preload_d_mm,motion_depth_from_start_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781638473.426035,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.0000,0.047000,-445.3400,2604.1320,2588.4320,3.8564,-1.1285,3.2579,3698.6229,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638473.514213,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.0085,0.045400,-455.5570,2608.3390,2582.6240,-6.3606,3.0785,-2.5501,3698.7716,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638473.602509,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.0962,0.047100,-450.7490,2601.1270,2589.3990,-1.5526,-4.1335,4.2249,3697.8404,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638473.691316,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.1853,0.046600,-451.9510,2608.3390,2582.6240,-2.7546,3.0785,-2.5501,3698.3292,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638473.779745,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.2734,0.046000,-454.9560,2605.3340,2587.4640,-5.7596,0.0735,2.2899,3699.9622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638473.868213,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.3618,0.046900,-450.1480,2607.1360,2594.2400,-0.9516,1.8755,9.0659,3705.3843,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638473.956569,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.4507,0.045600,-448.9460,2605.9340,2589.3990,0.2504,0.6735,4.2249,3701.0041,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.044812,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.5389,0.045600,-444.1380,2607.7380,2590.3680,5.0584,2.4775,5.1939,3702.3725,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.134296,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.6272,0.045600,-449.5470,2613.7480,2593.2720,-0.3506,8.4875,8.0979,3709.2898,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.221895,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.7162,0.047000,-451.9510,2607.7380,2587.4640,-2.7546,2.4775,2.2899,3701.2872,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.310765,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.8042,0.047900,-446.5420,2607.7380,2590.3680,2.6544,2.4775,5.1939,3702.6617,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.399343,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.8928,0.045400,-448.3450,2609.5410,2596.1750,0.8514,4.2805,11.0009,3708.2128,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.487845,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.9818,0.045400,-453.7540,2611.9450,2590.3680,-4.5576,6.6845,5.1939,3706.5018,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.576539,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.0699,0.045900,-448.9460,2606.5360,2587.4640,0.2504,1.2755,2.2899,3700.0746,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.664837,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.1582,0.048000,-450.1480,2611.3430,2598.1110,-0.9516,6.0825,12.9369,3711.0546,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.754439,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.2470,0.046800,-454.9560,2607.1360,2591.3360,-5.7596,1.8755,6.1619,3703.9392,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.842140,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.3364,0.048000,-448.3450,2607.7380,2586.4960,0.8514,2.4775,1.3219,3700.1719,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638474.930624,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.4245,0.048200,-450.1480,2608.3390,2582.6240,-0.9516,3.0785,-2.5501,3698.1093,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638475.019026,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.5130,0.048000,-449.5470,2613.1470,2587.4640,-0.3506,7.8865,2.2899,3704.8076,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638475.107541,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.6014,0.051000,-450.1480,2606.5360,2598.1110,-0.9516,1.2755,12.9369,3707.6737,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638475.195442,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.6898,0.048100,-449.5470,2607.1360,2587.4640,-0.3506,1.8755,2.2899,3700.5703,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638475.285183,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.7781,0.046000,-452.5520,2608.9400,2588.4320,-3.3556,3.6795,3.2579,3702.8842,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638475.373395,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.8670,0.047500,-444.7390,2603.5310,2583.5920,4.4574,-1.7295,-1.5821,3694.7414,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638475.461661,session_20260616_152850,2,2,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,1.9555,0.046400,-450.1480,2610.7430,2589.3990,-0.9516,5.4825,4.2249,3704.5377,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
