time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,nominal_d_mm,nominal_preload_d_mm,motion_depth_from_start_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781638769.484864,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.0000,0.044700,-451.9510,2604.7330,2592.3040,-2.7546,-0.5275,7.1299,3702.5577,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638769.572908,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.0408,0.044900,-452.5520,2608.9400,2586.4960,-3.3556,3.6795,1.3219,3701.5311,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638769.662043,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.1283,0.045200,-448.9460,2604.7330,2580.6870,0.2504,-0.5275,-4.4871,3694.0671,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638769.750082,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.2171,0.045500,-450.7490,2607.1360,2585.5270,-1.5526,1.8755,0.3529,3699.3625,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638769.839056,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.3055,0.045100,-446.5420,2602.9290,2591.3360,2.6544,-2.3315,6.1619,3699.9542,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638769.927493,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.3940,0.044800,-450.7490,2608.9400,2587.4640,-1.5526,3.6795,2.2899,3701.9876,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638770.015670,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.4824,0.046900,-451.3500,2604.7330,2594.2400,-2.1536,-0.5275,9.0659,3703.8402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638770.104080,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.5713,0.045800,-450.1480,2607.7380,2590.3680,-0.9516,2.4775,5.1939,3703.0983,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638770.192597,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.6592,0.044500,-445.9410,2605.9340,2581.6560,3.2554,0.6735,-3.5181,3695.2271,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
1781638770.281069,session_20260616_152850,3,3,1,no_contact_motion_artifact,direct_target,no_contact_replay,no_contact_motion_replay,direct_loading,340,3.4000,3.8000,5.0100,-5.0100,0.7478,0.045100,-448.3450,2605.3340,2591.3360,0.8514,0.0735,6.1619,3701.8645,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,no_contact
