trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.445300,-0.054700,2.4600,-4.1500,0.0000,down,2.5000,-0.0400,-711.5830,4470.2370,7818.5360,-253.1579,1615.2826,4574.0943,9034.3165
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.446900,-0.053100,2.5000,-4.1900,4.1945,down,2.5200,-0.0200,-709.1790,4467.8320,7817.5700,-250.7539,1612.8776,4573.1283,9032.1015
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.445400,-0.054600,2.5200,-4.2100,8.3184,down,2.5600,-0.0400,-709.1790,4464.8260,7813.6950,-250.7539,1609.8716,4569.2533,9027.2607
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.444100,-0.055900,2.5600,-4.2500,12.4637,down,2.6000,-0.0400,-708.5780,4464.2260,7823.3750,-250.1529,1609.2716,4578.9333,9035.2971
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.443900,-0.056100,2.6000,-4.2900,16.5945,down,2.6200,-0.0200,-713.9870,4467.2310,7809.8240,-255.5619,1612.2766,4565.3823,9025.4796
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.443600,-0.056400,2.6200,-4.3100,20.7346,down,2.6700,-0.0500,-712.7850,4466.0310,7820.4720,-254.3599,1611.0766,4576.0303,9034.0067
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.441800,-0.058200,2.6700,-4.3600,24.8583,down,2.7100,-0.0400,-708.5780,4470.8390,7828.2160,-250.1529,1615.8846,4583.7743,9042.7568
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.439700,-0.060300,2.7100,-4.4000,28.9932,down,2.7500,-0.0400,-707.9770,4469.6340,7818.5360,-249.5519,1614.6796,4574.0943,9033.7348
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.439800,-0.060200,2.7500,-4.4400,33.1374,down,2.7900,-0.0400,-704.9720,4466.0310,7818.5360,-246.5469,1611.0766,4574.0943,9031.7176
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.440100,-0.059900,2.7900,-4.4800,37.2717,down,2.8200,-0.0300,-706.1740,4471.4370,7815.6320,-247.7489,1616.4826,4571.1903,9031.9729
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.440300,-0.059700,2.8200,-4.5100,41.4142,down,2.8600,-0.0400,-708.5780,4466.6320,7815.6320,-250.1529,1611.6776,4571.1903,9029.7834
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.441000,-0.059000,2.8600,-4.5500,45.5467,down,2.9000,-0.0400,-711.5830,4467.2310,7818.5360,-253.1579,1612.2766,4574.0943,9032.8295
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.440100,-0.059900,2.9000,-4.5900,49.6888,down,2.9400,-0.0400,-717.5930,4469.0320,7818.5360,-259.1679,1614.0776,4574.0943,9034.1957
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.436000,-0.064000,2.9400,-4.6300,53.8553,down,2.9800,-0.0400,-708.5780,4465.4290,7816.6000,-250.1529,1610.4746,4572.1583,9030.0263
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.438700,-0.061300,2.9800,-4.6700,58.0137,down,3.0000,-0.0200,-710.3810,4467.2310,7820.4720,-251.9559,1612.2766,4576.0303,9034.4107
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.436000,-0.064000,3.0000,-4.6900,62.1408,down,3.0200,-0.0200,-713.3860,4467.2310,7819.5040,-254.9609,1612.2766,4575.0623,9033.8096
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.435300,-0.064700,3.0200,-4.7100,66.2955,down,3.0400,-0.0200,-709.1790,4466.0310,7814.6640,-250.7539,1611.0766,4570.2223,9028.6954
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.434000,-0.066000,3.0400,-4.7300,70.4257,down,3.0800,-0.0400,-709.7800,4468.4340,7813.6950,-251.3549,1613.4796,4569.2533,9029.0930
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.436300,-0.063700,3.0800,-4.7700,74.5784,down,3.1200,-0.0400,-713.9870,4466.0310,7811.7600,-255.5619,1611.0766,4567.3183,9026.5611
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.434800,-0.065200,3.1200,-4.8100,78.7006,down,3.1400,-0.0200,-712.7850,4467.2310,7812.7280,-254.3599,1612.2766,4568.2863,9027.8975
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.435000,-0.065000,3.1400,-4.8300,82.8513,down,3.1900,-0.0500,-710.3810,4469.6340,7819.5040,-251.9559,1614.6796,4575.0623,9034.7613
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.435200,-0.064800,3.1900,-4.8800,86.9848,down,3.2300,-0.0400,-711.5830,4464.8260,7821.4400,-253.1579,1609.8716,4576.9983,9034.1544
1,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.435700,-0.064300,3.2300,-4.9200,91.1183,down,3.2700,-0.0400,-709.7800,4467.2310,7816.6000,-251.3549,1612.2766,4572.1583,9031.0119
