trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.803800,0.003800,1.4000,-2.0300,0.0000,none,1.4000,0.0000,-1138.2930,9322.1110,5059.7360,-279.0272,2853.5537,1698.0325,10667.6330
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.803100,0.003100,1.4000,-2.0300,0.0545,none,1.4000,0.0000,-1143.7030,9316.7030,5053.9280,-284.4372,2848.1457,1692.2245,10660.7317
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.804200,0.004200,1.4000,-2.0300,0.1428,none,1.4000,0.0000,-1141.8990,9324.5120,5051.9920,-282.6332,2855.9547,1690.2885,10666.4465
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.804700,0.004700,1.4000,-2.0300,0.2312,none,1.4000,0.0000,-1142.5000,9325.7170,5055.8640,-283.2342,2857.1597,1694.1605,10669.3985
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.804300,0.004300,1.4000,-2.0300,0.3203,none,1.4000,0.0000,-1139.4960,9322.1110,5054.8980,-280.2302,2853.5537,1693.1945,10665.4676
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.804900,0.004900,1.4000,-2.0300,0.4078,none,1.4000,0.0000,-1137.6920,9319.1040,5048.1190,-278.4262,2850.5467,1686.4155,10659.4347
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.803700,0.003700,1.4000,-2.0300,0.4961,none,1.4000,0.0000,-1140.6970,9315.4980,5057.7990,-281.4312,2846.9407,1696.0955,10661.1924
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.803700,0.003700,1.4000,-2.0300,0.5844,none,1.4000,0.0000,-1138.2930,9319.1040,5056.8320,-279.0272,2850.5467,1695.1285,10663.6279
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.803500,0.003500,1.4000,-2.0300,0.6726,none,1.4000,0.0000,-1140.6970,9317.9030,5052.9600,-281.4312,2849.3457,1691.2565,10660.9995
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.805100,0.005100,1.4000,-2.0300,0.7612,none,1.4000,0.0000,-1141.8990,9319.7010,5051.0230,-282.6332,2851.1437,1689.3195,10661.7819
