time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781193770.656573,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.990000,3.00000,2.990000,-0.010000,nan,2.1400,2.1400,,-3.8500,0.0000,-487.4100,6353.1680,4739.3280,-487.4100,6353.1680,4739.3280,-59.6611,2793.8458,2785.6176,7941.1298,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781193770.658197,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.991600,3.00000,2.991600,-0.008400,nan,2.1400,2.1400,,-3.8500,0.0007,-486.8090,6351.9680,4749.0080,-486.8090,6351.9680,4749.0080,-59.0601,2792.6458,2795.2976,7945.9145,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781193770.663251,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.990300,3.00000,2.990300,-0.009700,nan,2.1400,2.1400,,-3.8500,0.0019,-493.4200,6356.1750,4748.0390,-493.4200,6356.1750,4748.0390,-65.6711,2796.8528,2794.3286,7949.1068,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781193770.751280,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.991900,3.00000,2.991900,-0.008100,nan,2.1400,2.1400,,-3.8500,0.0067,-491.0160,6354.9700,4754.8160,-491.0160,6354.9700,4754.8160,-63.2671,2795.6478,2801.1056,7952.0447,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781193770.839515,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.990200,3.00000,2.990200,-0.009800,nan,2.1400,2.1400,,-3.8500,0.0951,-490.4150,6356.7760,4749.9760,-490.4150,6356.7760,4749.9760,-62.6661,2797.4538,2796.2656,7950.5585,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781193770.927693,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.988800,3.00000,2.988800,-0.011200,nan,2.1400,2.1400,,-3.8500,0.1833,-488.0110,6359.1780,4741.2640,-488.0110,6359.1780,4741.2640,-60.2621,2799.8558,2787.5536,7947.1305,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781193771.015805,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.987100,3.00000,2.987100,-0.012900,nan,2.1400,2.1400,,-3.8500,0.2716,-491.6170,6353.7700,4749.0080,-491.6170,6353.7700,4749.0080,-63.8681,2794.4478,2795.2976,7947.6511,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781193771.103941,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.986400,3.00000,2.986400,-0.013600,nan,2.1400,2.1400,,-3.8500,0.3599,-486.2080,6350.1650,4747.0720,-486.2080,6350.1650,4747.0720,-58.4591,2790.8428,2793.3616,7943.2793,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781193771.191874,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.986200,3.00000,2.986200,-0.013800,nan,2.1400,2.1400,,-3.8500,0.4478,-492.2180,6356.7760,4750.9440,-492.2180,6356.7760,4750.9440,-64.4691,2797.4538,2797.2336,7951.2482,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781193771.280732,session_20260611_113427,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,300,3.00000,2.986500,3.00000,2.986500,-0.013500,nan,2.1400,2.1400,,-3.8500,0.5358,-493.4200,6356.7760,4750.9440,-493.4200,6356.7760,4750.9440,-65.6711,2797.4538,2797.2336,7951.3227,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
