phase,step,mark10_pos_mm,d_compression_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,Bmag_uT,note
approach,1,-0.1900,nan,0.00015,0.00096,10,145.7096,-2656.8600,269.4426,2674.4599,
approach,2,-0.3900,nan,-0.00010,0.00163,13,145.6794,-2656.7698,269.4424,2674.3686,
approach,3,-0.5900,nan,0.00120,0.00148,12,145.9200,-2656.8598,269.5880,2674.4858,
approach,4,-0.7900,nan,0.00170,0.00141,12,145.4700,-2657.0098,268.9104,2674.5421,
approach,5,-1.0000,nan,0.00250,0.00148,12,145.9494,-2657.0098,269.0066,2674.5779,
approach,6,-1.1700,nan,0.00240,0.00148,13,145.4500,-2656.9748,269.1038,2674.5257,
approach,7,-1.3900,nan,0.00300,0.00059,12,145.8000,-2657.3998,269.1037,2674.9670,
approach,8,-1.5900,nan,0.00420,0.00193,13,145.5894,-2657.3400,269.2006,2674.9058,
approach,9,-1.7900,nan,0.00250,0.00037,12,145.8896,-2656.7698,269.2968,2674.3654,
approach,10,-2.0000,nan,0.00365,0.00067,12,145.7694,-2656.8300,268.8618,2674.3749,
approach,11,-2.2000,nan,0.00375,0.00082,12,146.0700,-2656.4398,269.4910,2674.0670,
approach,12,-2.3900,nan,0.00370,0.00178,13,145.7497,-2657.0498,268.9827,2674.6044,
approach,13,-2.5900,nan,0.00430,0.00089,13,146.0248,-2656.9997,268.9018,2674.5614,
approach,14,-2.7900,nan,0.00475,0.00222,12,145.8900,-2656.8300,268.6196,2674.3571,
approach,15,-3.0000,nan,0.00525,0.00059,12,145.4396,-2656.9498,268.7166,2674.4614,
approach,16,-3.1700,nan,0.00495,0.00089,12,145.6200,-2657.0100,269.1518,2674.5747,
approach,17,-3.3900,nan,0.00555,0.00052,10,145.6198,-2657.2198,269.0556,2674.7735,
approach,18,-3.5900,nan,0.00625,0.00059,12,145.6798,-2656.6496,268.8616,2674.1908,
approach,19,-3.7900,nan,0.00615,0.00059,12,145.7098,-2657.2496,269.4910,2674.8518,
approach,20,-4.0000,nan,0.00660,0.00119,12,145.4098,-2656.3198,269.0554,2673.8679,
approach,21,-4.1900,nan,0.00720,0.00178,12,145.1098,-2656.1700,269.1040,2673.7077,
approach,22,-4.3800,nan,0.00780,0.00208,11,145.4100,-2656.7998,268.7164,2674.3107,
approach,23,-4.5900,nan,0.00835,0.00067,12,145.2900,-2657.0398,269.0068,2674.5718,
approach,24,-4.7900,nan,0.00735,0.00133,12,145.7100,-2656.7700,269.0070,2674.3266,
approach,25,-5.0000,nan,0.00750,0.00119,11,145.4100,-2657.3400,268.9102,2674.8668,
approach,26,-5.1900,nan,0.00730,0.00082,12,145.6496,-2657.3700,268.8136,2674.9000,
approach,27,-5.4000,nan,0.00900,0.00111,12,145.5892,-2657.3400,269.1524,2674.9010,
approach,28,-5.5900,nan,0.00890,0.00089,13,145.7700,-2657.1298,269.1522,2674.7020,
approach,29,-5.7900,nan,0.00990,0.00133,12,146.1296,-2656.8598,268.8618,2674.4241,
approach,30,-6.0000,nan,0.00950,0.00111,12,145.7098,-2657.2500,268.7164,2674.7743,
approach,31,-6.1900,nan,0.00960,0.00193,12,146.1300,-2656.8300,269.0070,2674.4092,
approach,32,-6.3900,nan,0.01050,0.00096,12,145.2898,-2656.9198,269.0552,2674.4574,
approach,33,-6.5900,nan,0.01080,0.00111,12,145.4098,-2657.0998,269.0552,2674.6428,
approach,34,-6.7900,nan,0.01000,0.00104,13,145.7497,-2656.9000,268.3778,2674.3947,
approach,35,-7.0000,nan,0.01020,0.00119,11,145.7694,-2657.0698,269.0068,2674.6277,
approach,36,-7.1900,nan,0.01070,0.00111,12,145.5900,-2657.4300,269.3936,2675.0147,
approach,37,-7.3900,nan,0.01070,0.00104,13,145.5896,-2657.5198,268.7164,2675.0358,
approach,38,-7.5900,nan,0.01020,0.00082,12,145.4400,-2657.0698,269.1522,2674.6244,
approach,39,-7.7900,nan,0.01215,0.00052,12,145.4698,-2657.0696,268.9102,2674.6015,
approach,40,-8.0000,nan,0.01140,0.00059,12,145.5300,-2657.3998,268.9582,2674.9376,
approach,41,-8.1900,nan,0.01095,0.00119,12,145.3498,-2657.0098,268.9104,2674.5356,
approach,42,-8.3900,nan,0.01075,0.00082,12,145.7698,-2657.5498,269.0070,2675.1046,
approach,43,-8.5700,nan,0.01190,0.00082,12,145.8600,-2657.2800,269.1524,2674.8561,
approach,44,-8.8000,nan,0.01140,0.00163,13,145.6248,-2656.8250,269.2248,2674.3986,
approach,45,-9.0000,nan,0.01270,0.00141,12,145.7098,-2657.0096,269.0554,2674.5695,
approach,46,-9.1900,nan,0.01200,0.00133,13,145.7998,-2657.0396,268.8136,2674.5799,
approach,47,-9.3900,nan,0.01350,0.00074,11,145.7996,-2657.4896,268.5714,2675.0026,
approach,48,-9.5700,nan,0.01330,0.00267,13,145.7500,-2657.4250,269.2650,2675.0055,
approach,49,-9.7700,nan,0.01375,0.00067,12,145.5892,-2657.1900,269.2976,2674.7666,
approach,50,-10.0000,nan,0.01295,0.00148,12,145.5296,-2657.3398,269.0556,2674.8878,
approach,51,-10.1900,nan,0.01395,0.00148,12,145.5600,-2657.3700,269.0554,2674.9194,
approach,52,-10.3900,nan,0.01390,0.00133,12,145.5596,-2657.4000,269.0552,2674.9492,
approach,53,-10.5900,nan,0.01330,0.00141,12,145.5898,-2657.4296,268.9582,2674.9705,
approach,54,-10.8000,nan,0.01390,0.00141,12,145.4997,-2657.3500,269.1037,2674.9011,
approach,55,-11.0000,nan,0.01430,0.00089,12,145.8998,-2657.5748,268.8617,2675.1219,
approach,56,-11.1900,nan,0.01500,0.00170,12,145.8000,-2657.6994,269.1522,2675.2695,
approach,57,-11.3900,nan,0.01470,0.00044,13,145.7998,-2657.4248,268.5390,2674.9351,
approach,58,-11.5900,nan,0.01520,0.00030,13,145.7700,-2657.9698,269.1522,2675.5364,
approach,59,-11.8000,nan,0.01425,0.00133,12,145.3800,-2657.7900,269.0554,2675.3269,
approach,60,-12.0000,nan,0.01585,0.00104,12,145.3198,-2657.3400,268.8132,2674.8522,
approach,61,-12.1900,nan,0.01335,0.00096,12,145.6498,-2657.8998,268.8217,2675.4272,
approach,62,-12.3900,nan,0.01580,0.00104,12,145.4997,-2657.9498,269.3862,2675.5254,
approach,63,-12.5900,nan,0.01560,0.00104,13,145.5000,-2658.2398,268.7650,2675.7511,
approach,64,-12.7700,nan,0.01630,0.00185,12,145.6498,-2657.8498,269.2008,2675.4156,
approach,65,-13.0000,nan,0.01600,0.00059,12,145.5896,-2657.7900,269.1038,2675.3431,
approach,66,-13.1900,nan,0.01580,0.00089,12,145.4700,-2657.9698,268.9102,2675.4958,
approach,67,-13.3900,nan,0.01825,0.00215,12,145.3200,-2657.7898,269.1038,2675.3283,
approach,68,-13.5900,nan,0.01640,0.00089,12,145.4747,-2657.8750,269.1843,2675.4294,
approach,69,-13.7900,nan,0.01695,0.00170,12,145.2493,-2658.3500,268.9827,2675.8688,
approach,70,-14.0000,nan,0.01710,0.00193,13,145.3498,-2658.0600,268.8128,2675.5691,
approach,71,-14.1900,nan,0.01630,0.00067,12,145.3196,-2657.8498,268.6198,2675.3392,
approach,72,-14.3900,nan,0.01695,0.00067,12,145.8896,-2657.3096,268.8134,2674.8530,
approach,73,-14.5900,nan,0.01645,0.00215,12,145.5900,-2657.5200,268.7166,2675.0360,
approach,74,-14.7900,nan,0.01710,0.00067,12,145.5600,-2657.8800,268.9104,2675.4115,
approach,75,-15.0000,nan,0.01730,0.00082,12,145.3500,-2658.2400,268.8128,2675.7479,
