trial,phase,step,F_target_N,F_mean_N,F_error_N,F_std_N,F_n_samples,B_n_samples,mark10_pos_mm,d_actual_mm,target_reached,status,control_iters,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,force_loading,1,0.00000,-0.05440,-0.05440,0.00163,23,27,-2.0900,0.4600,0,max_iters,50,25.3523,-3008.9831,-1050.8894,0.3741,64.9897,94.6676,-16.7951,306.4187,659.2718,3187.3172
3,force_loading,2,0.10000,0.07330,-0.02670,0.00163,23,28,-3.0500,1.4200,0,max_iters,50,-20.5832,-2964.7531,-1140.7534,0.4804,9.1342,14.4000,-62.7306,350.6486,569.4078,3176.7126
3,force_loading,3,0.20000,0.18100,-0.01900,0.00059,23,24,-3.5000,1.8700,1,reached,14,-16.9528,-3141.3755,-1605.7103,0.4332,0.6118,0.7541,-59.1002,174.0262,104.4509,3528.0070
3,force_loading,4,0.30000,0.27970,-0.02030,0.00096,24,24,-3.8300,2.2000,0,drifted_after_reach,19,-9.1143,-3309.6809,-2076.5610,0.3827,0.6003,0.6984,-51.2616,5.7209,-366.3998,3907.1955
3,force_loading,5,0.40000,0.38385,-0.01615,0.00089,24,23,-4.1100,2.4800,1,reached,19,0.3131,-3478.8740,-2578.4998,0.4743,0.6502,0.9327,-41.8343,-163.4722,-868.3386,4330.2686
3,force_loading,6,0.50000,0.48070,-0.01930,0.00141,24,24,-4.3800,2.7500,1,reached,11,10.8420,-3621.3240,-3037.3827,0.4148,0.7520,0.6976,-31.3053,-305.9222,-1327.2215,4726.4996
3,force_loading,7,0.60000,0.57970,-0.02030,0.00148,24,23,-4.5700,2.9400,0,drifted_after_reach,7,21.8440,-3755.8570,-3489.5137,0.4658,0.5317,0.6055,-20.3033,-440.4553,-1779.3525,5126.7578
3,force_loading,8,0.70000,0.68105,-0.01895,0.00156,24,23,-4.7700,3.1400,1,reached,12,32.6882,-3886.1695,-3934.2470,0.4342,0.5329,0.9428,-9.4592,-570.7677,-2224.0857,5530.0706
3,force_loading,9,0.80000,0.77830,-0.02170,0.00193,24,23,-4.9400,3.3100,0,drifted_after_reach,5,42.1997,-4005.2976,-4371.4877,0.5111,0.7632,0.7719,0.0523,-689.8958,-2661.3265,5929.0888
3,force_loading,10,0.90000,0.88060,-0.01940,0.00126,24,23,-5.0900,3.4600,1,reached,5,51.3453,-4127.1438,-4839.9579,0.5069,0.6090,0.7429,9.1979,-811.7420,-3129.7967,6360.9075
