trial,phase,step,F_target_N,F_mean_N,F_error_N,F_std_N,F_n_samples,B_n_samples,mark10_pos_mm,d_actual_mm,target_reached,status,control_iters,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,force_loading,1,0.00000,-0.05440,-0.05440,0.00082,24,27,-2.0900,0.4600,0,max_iters,50,30.6277,-2960.8363,-1032.4256,0.5133,71.2732,108.8918,-11.5197,354.5654,677.7357,3135.8240
2,force_loading,2,0.10000,0.05590,-0.04410,0.00059,24,27,-2.9300,1.3000,0,max_iters,50,-13.7330,-2896.6182,-1061.5371,0.4627,3.5631,1.0097,-55.8804,418.7836,648.6241,3085.0359
2,force_loading,3,0.20000,0.17960,-0.02040,0.00096,24,27,-3.4300,1.8000,0,drifted_after_reach,21,-12.3306,-3080.0793,-1552.4925,0.5368,5.9003,9.9554,-54.4780,235.3225,157.6687,3449.2425
2,force_loading,4,0.30000,0.28315,-0.01685,0.00193,24,27,-3.8100,2.1800,1,reached,24,-6.8103,-3257.1739,-2058.6846,0.5528,5.1169,6.8691,-48.9577,58.2279,-348.5233,3853.2337
2,force_loading,5,0.40000,0.38375,-0.01625,0.00111,24,28,-4.1100,2.4800,1,reached,23,0.6432,-3415.2669,-2557.0408,0.5644,5.3033,9.0784,-41.5042,-99.8651,-846.8796,4266.4395
2,force_loading,6,0.50000,0.47695,-0.02305,0.00096,24,24,-4.3300,2.7000,0,drifted_after_reach,10,9.3396,-3533.8537,-2997.2906,0.4680,0.4152,0.8471,-32.8078,-218.4519,-1287.1294,4633.7847
2,force_loading,7,0.60000,0.58310,-0.01690,0.00141,24,23,-4.5700,2.9400,1,reached,10,19.6491,-3664.6618,-3489.1350,0.4941,0.5041,0.6441,-22.4983,-349.2600,-1778.9737,5060.0588
2,force_loading,8,0.70000,0.68070,-0.01930,0.00156,24,24,-4.7500,3.1200,1,reached,8,28.4463,-3788.9781,-3939.1953,0.5510,0.6860,0.9852,-13.7011,-473.5763,-2229.0340,5465.7500
2,force_loading,9,0.80000,0.77605,-0.02395,0.00141,24,24,-4.9200,3.2900,0,drifted_after_reach,5,36.4597,-3901.6906,-4376.4890,0.4576,0.7930,1.1657,-5.6877,-586.2888,-2666.3278,5863.2904
2,force_loading,10,0.90000,0.88650,-0.01350,0.00141,24,23,-5.0900,3.4600,1,reached,8,46.5373,-4017.5525,-4871.2285,0.3982,0.6268,0.9329,4.3900,-702.1507,-3161.0673,6314.4090
