trial,phase,step,F_target_N,F_mean_N,F_error_N,F_std_N,F_n_samples,B_n_samples,mark10_pos_mm,d_actual_mm,target_reached,status,control_iters,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,force_loading,1,0.00000,-0.02755,-0.02755,0.00082,24,27,-1.5900,0.0000,0,max_iters,50,49.9933,-3120.5017,-1426.0073,0.8666,12.8132,27.5179,7.8459,194.9001,284.1540,3431.2573
1,force_loading,2,0.10000,0.07790,-0.02210,0.00059,24,28,-3.0100,1.4200,0,drifted_after_reach,28,17.6641,-2833.4136,-1104.5225,11.1976,15.7201,98.7443,-24.4833,481.9882,605.6388,3041.1370
1,force_loading,3,0.20000,0.18110,-0.01890,0.00104,21,28,-3.4100,1.8200,1,reached,20,12.9634,-2951.6816,-1562.3173,0.4458,9.6409,24.0863,-29.1840,363.7202,147.8440,3339.6748
1,force_loading,4,0.30000,0.28090,-0.01910,0.00156,24,23,-3.8100,2.2200,1,reached,16,8.5701,-3106.4630,-2107.7990,0.5193,0.4671,0.5741,-33.5773,208.9388,-397.6377,3754.0648
1,force_loading,5,0.40000,0.38170,-0.01830,0.00156,24,24,-4.0900,2.5000,1,reached,13,9.5900,-3224.0130,-2587.0606,0.4846,0.4982,0.8034,-32.5574,91.3888,-876.8994,4133.6708
1,force_loading,6,0.50000,0.46045,-0.03955,0.00059,24,27,-4.3100,2.7200,0,max_iters,50,14.4675,-3327.9137,-3035.5044,0.3700,4.1228,3.4874,-27.6799,-12.5119,-1325.3432,4504.3874
1,force_loading,7,0.60000,0.57745,-0.02255,0.00215,24,23,-4.5500,2.9600,0,drifted_after_reach,7,20.1978,-3422.1450,-3529.2014,0.5041,0.6759,0.6726,-21.9496,-106.7432,-1819.0402,4915.9686
1,force_loading,8,0.70000,0.68070,-0.01930,0.00126,24,24,-4.7500,3.1600,1,reached,7,24.2894,-3516.2991,-4009.3350,0.5292,0.5086,0.7172,-17.8580,-200.8973,-2299.1738,5332.8901
1,force_loading,9,0.80000,0.77550,-0.02450,0.00148,24,23,-4.9200,3.3300,0,drifted_after_reach,5,28.1676,-3596.6699,-4448.5916,0.4897,0.5979,0.7508,-13.9798,-281.2681,-2738.4303,5720.7338
1,force_loading,10,0.90000,0.88035,-0.01965,0.00096,24,24,-5.0900,3.5000,1,reached,8,31.8520,-3671.4572,-4913.2060,0.3963,0.4989,0.6887,-10.2954,-356.0554,-3203.0448,6133.5313
