trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,1,0.0000,0.0000,-5.4000,-0.02680,0.00067,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,0.4480,0.4300,-5.8300,-0.04240,0.00119,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,3,0.8960,0.8900,-6.2900,-0.00475,0.00133,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,4,1.3440,1.3300,-6.7300,0.07805,0.00126,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,5,1.7920,1.7700,-7.1700,0.22280,0.00267,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,6,2.2400,2.2300,-7.6300,0.41425,0.00141,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,7,2.6880,2.6700,-8.0700,0.67820,0.00289,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,8,3.1360,3.1300,-8.5300,1.05850,0.00489,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,9,3.5840,3.5700,-8.9700,1.60450,0.00830,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,10,4.0320,4.0200,-9.4200,2.39060,0.01216,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,11,4.4800,4.3100,-9.7100,3.10080,0.01357,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
