Bx_uT,By_uT,Bz_uT
-4.229999999999999716e+01,-3.704999999999999716e+01,-2.383700000000000045e+02
-4.184899999999999665e+01,-3.689999999999999858e+01,-2.386119999999999948e+02
-4.245000000000000284e+01,-3.659899999999999665e+01,-2.386119999999999948e+02
-4.184899999999999665e+01,-3.675000000000000000e+01,-2.376440000000000055e+02
-4.184899999999999665e+01,-3.675000000000000000e+01,-2.386119999999999948e+02
-4.229999999999999716e+01,-3.689999999999999858e+01,-2.378849999999999909e+02
-4.229999999999999716e+01,-3.704999999999999716e+01,-2.381279999999999859e+02
-4.245000000000000284e+01,-3.689999999999999858e+01,-2.390960000000000036e+02
-4.184899999999999665e+01,-3.704999999999999716e+01,-2.386119999999999948e+02
-4.200000000000000000e+01,-3.734899999999999665e+01,-2.388540000000000134e+02
-4.139999999999999858e+01,-3.720000000000000284e+01,-2.378849999999999909e+02
-4.184899999999999665e+01,-3.689999999999999858e+01,-2.398220000000000027e+02
-4.214999999999999858e+01,-3.645000000000000284e+01,-2.383700000000000045e+02
-4.200000000000000000e+01,-3.659899999999999665e+01,-2.381279999999999859e+02
-4.109899999999999665e+01,-3.689999999999999858e+01,-2.393379999999999939e+02
-4.154999999999999716e+01,-3.750000000000000000e+01,-2.386119999999999948e+02
-4.184899999999999665e+01,-3.629999999999999716e+01,-2.390960000000000036e+02
-4.214999999999999858e+01,-3.645000000000000284e+01,-2.400629999999999882e+02
-4.109899999999999665e+01,-3.704999999999999716e+01,-2.388540000000000134e+02
-4.200000000000000000e+01,-3.809899999999999665e+01,-2.378849999999999909e+02
-4.139999999999999858e+01,-3.689999999999999858e+01,-2.390960000000000036e+02
-4.184899999999999665e+01,-3.734899999999999665e+01,-2.371589999999999918e+02
-4.200000000000000000e+01,-3.689999999999999858e+01,-2.395800000000000125e+02
-4.139999999999999858e+01,-3.734899999999999665e+01,-2.374019999999999868e+02
-4.200000000000000000e+01,-3.659899999999999665e+01,-2.388540000000000134e+02
-4.154999999999999716e+01,-3.645000000000000284e+01,-2.374019999999999868e+02
-4.229999999999999716e+01,-3.734899999999999665e+01,-2.386119999999999948e+02
-4.154999999999999716e+01,-3.675000000000000000e+01,-2.381279999999999859e+02
-4.154999999999999716e+01,-3.689999999999999858e+01,-2.371589999999999918e+02
-4.184899999999999665e+01,-3.720000000000000284e+01,-2.383700000000000045e+02
-4.200000000000000000e+01,-3.645000000000000284e+01,-2.388540000000000134e+02
-4.229999999999999716e+01,-3.689999999999999858e+01,-2.388540000000000134e+02
-4.214999999999999858e+01,-3.704999999999999716e+01,-2.376440000000000055e+02
-4.184899999999999665e+01,-3.750000000000000000e+01,-2.386119999999999948e+02
-4.139999999999999858e+01,-3.645000000000000284e+01,-2.383700000000000045e+02
-4.229999999999999716e+01,-3.734899999999999665e+01,-2.374019999999999868e+02
-4.154999999999999716e+01,-3.750000000000000000e+01,-2.388540000000000134e+02
-4.214999999999999858e+01,-3.689999999999999858e+01,-2.378849999999999909e+02
-4.170000000000000284e+01,-3.750000000000000000e+01,-2.388540000000000134e+02
-4.184899999999999665e+01,-3.734899999999999665e+01,-2.386119999999999948e+02
-4.170000000000000284e+01,-3.720000000000000284e+01,-2.393379999999999939e+02
-4.139999999999999858e+01,-3.704999999999999716e+01,-2.383700000000000045e+02
-4.214999999999999858e+01,-3.645000000000000284e+01,-2.393379999999999939e+02
-4.214999999999999858e+01,-3.689999999999999858e+01,-2.378849999999999909e+02
-4.095000000000000284e+01,-3.720000000000000284e+01,-2.383700000000000045e+02
-4.139999999999999858e+01,-3.704999999999999716e+01,-2.386119999999999948e+02
-4.139999999999999858e+01,-3.689999999999999858e+01,-2.378849999999999909e+02
-4.170000000000000284e+01,-3.795000000000000284e+01,-2.386119999999999948e+02
-4.184899999999999665e+01,-3.689999999999999858e+01,-2.383700000000000045e+02
-4.139999999999999858e+01,-3.734899999999999665e+01,-2.383700000000000045e+02
-4.154999999999999716e+01,-3.720000000000000284e+01,-2.398220000000000027e+02
-4.109899999999999665e+01,-3.689999999999999858e+01,-2.386119999999999948e+02
-4.184899999999999665e+01,-3.720000000000000284e+01,-2.388540000000000134e+02
-4.184899999999999665e+01,-3.764999999999999858e+01,-2.378849999999999909e+02
-4.200000000000000000e+01,-3.779999999999999716e+01,-2.395800000000000125e+02
-4.200000000000000000e+01,-3.689999999999999858e+01,-2.390960000000000036e+02
-4.245000000000000284e+01,-3.734899999999999665e+01,-2.388540000000000134e+02
-4.184899999999999665e+01,-3.779999999999999716e+01,-2.390960000000000036e+02
-4.154999999999999716e+01,-3.734899999999999665e+01,-2.386119999999999948e+02
-4.154999999999999716e+01,-3.689999999999999858e+01,-2.371589999999999918e+02
-4.200000000000000000e+01,-3.704999999999999716e+01,-2.388540000000000134e+02
-4.200000000000000000e+01,-3.734899999999999665e+01,-2.393379999999999939e+02
-4.214999999999999858e+01,-3.645000000000000284e+01,-2.386119999999999948e+02
-4.170000000000000284e+01,-3.659899999999999665e+01,-2.386119999999999948e+02
-4.154999999999999716e+01,-3.720000000000000284e+01,-2.381279999999999859e+02
-4.170000000000000284e+01,-3.689999999999999858e+01,-2.381279999999999859e+02
-4.139999999999999858e+01,-3.704999999999999716e+01,-2.383700000000000045e+02
-4.050000000000000000e+01,-3.704999999999999716e+01,-2.386119999999999948e+02
-4.170000000000000284e+01,-3.675000000000000000e+01,-2.395800000000000125e+02
-4.184899999999999665e+01,-3.734899999999999665e+01,-2.386119999999999948e+02
-4.125000000000000000e+01,-3.689999999999999858e+01,-2.390960000000000036e+02
-4.154999999999999716e+01,-3.689999999999999858e+01,-2.386119999999999948e+02
-4.125000000000000000e+01,-3.779999999999999716e+01,-2.388540000000000134e+02
-4.139999999999999858e+01,-3.689999999999999858e+01,-2.378849999999999909e+02
-4.229999999999999716e+01,-3.704999999999999716e+01,-2.376440000000000055e+02
-4.170000000000000284e+01,-3.645000000000000284e+01,-2.376440000000000055e+02
-4.139999999999999858e+01,-3.689999999999999858e+01,-2.386119999999999948e+02
-4.154999999999999716e+01,-3.704999999999999716e+01,-2.378849999999999909e+02
-4.170000000000000284e+01,-3.675000000000000000e+01,-2.378849999999999909e+02
-4.170000000000000284e+01,-3.750000000000000000e+01,-2.388540000000000134e+02
-4.200000000000000000e+01,-3.675000000000000000e+01,-2.388540000000000134e+02
-4.200000000000000000e+01,-3.689999999999999858e+01,-2.381279999999999859e+02
-4.154999999999999716e+01,-3.689999999999999858e+01,-2.376440000000000055e+02
-4.139999999999999858e+01,-3.675000000000000000e+01,-2.381279999999999859e+02
-4.154999999999999716e+01,-3.675000000000000000e+01,-2.386119999999999948e+02
-4.259899999999999665e+01,-3.734899999999999665e+01,-2.383700000000000045e+02
-4.200000000000000000e+01,-3.689999999999999858e+01,-2.388540000000000134e+02
-4.079999999999999716e+01,-3.704999999999999716e+01,-2.381279999999999859e+02
-4.184899999999999665e+01,-3.659899999999999665e+01,-2.381279999999999859e+02
-4.229999999999999716e+01,-3.704999999999999716e+01,-2.374019999999999868e+02
-4.214999999999999858e+01,-3.689999999999999858e+01,-2.369170000000000016e+02
-4.200000000000000000e+01,-3.689999999999999858e+01,-2.395800000000000125e+02
-4.275000000000000000e+01,-3.720000000000000284e+01,-2.388540000000000134e+02
-4.139999999999999858e+01,-3.689999999999999858e+01,-2.395800000000000125e+02
-4.170000000000000284e+01,-3.659899999999999665e+01,-2.388540000000000134e+02
-4.139999999999999858e+01,-3.704999999999999716e+01,-2.381279999999999859e+02
-4.064999999999999858e+01,-3.720000000000000284e+01,-2.381279999999999859e+02
-4.259899999999999665e+01,-3.659899999999999665e+01,-2.390960000000000036e+02
-4.200000000000000000e+01,-3.720000000000000284e+01,-2.378849999999999909e+02
-4.200000000000000000e+01,-3.720000000000000284e+01,-2.386119999999999948e+02
-4.184899999999999665e+01,-3.689999999999999858e+01,-2.383700000000000045e+02
-4.170000000000000284e+01,-3.629999999999999716e+01,-2.376440000000000055e+02
-4.170000000000000284e+01,-3.734899999999999665e+01,-2.376440000000000055e+02
-4.200000000000000000e+01,-3.704999999999999716e+01,-2.381279999999999859e+02
-4.229999999999999716e+01,-3.704999999999999716e+01,-2.378849999999999909e+02
-4.170000000000000284e+01,-3.764999999999999858e+01,-2.381279999999999859e+02
-4.170000000000000284e+01,-3.704999999999999716e+01,-2.383700000000000045e+02
-4.154999999999999716e+01,-3.689999999999999858e+01,-2.376440000000000055e+02
-4.184899999999999665e+01,-3.704999999999999716e+01,-2.378849999999999909e+02
-4.139999999999999858e+01,-3.764999999999999858e+01,-2.381279999999999859e+02
-4.139999999999999858e+01,-3.614999999999999858e+01,-2.366759999999999877e+02
-4.229999999999999716e+01,-3.720000000000000284e+01,-2.371589999999999918e+02
-4.200000000000000000e+01,-3.720000000000000284e+01,-2.388540000000000134e+02
-4.214999999999999858e+01,-3.675000000000000000e+01,-2.378849999999999909e+02
-4.184899999999999665e+01,-3.675000000000000000e+01,-2.388540000000000134e+02
-4.170000000000000284e+01,-3.689999999999999858e+01,-2.376440000000000055e+02
-4.200000000000000000e+01,-3.720000000000000284e+01,-2.381279999999999859e+02
-4.154999999999999716e+01,-3.764999999999999858e+01,-2.388540000000000134e+02
-4.245000000000000284e+01,-3.675000000000000000e+01,-2.376440000000000055e+02
-4.154999999999999716e+01,-3.734899999999999665e+01,-2.393379999999999939e+02
-4.064999999999999858e+01,-3.750000000000000000e+01,-2.386119999999999948e+02
-4.229999999999999716e+01,-3.750000000000000000e+01,-2.381279999999999859e+02
-4.154999999999999716e+01,-3.675000000000000000e+01,-2.381279999999999859e+02
-4.139999999999999858e+01,-3.675000000000000000e+01,-2.376440000000000055e+02
-4.139999999999999858e+01,-3.704999999999999716e+01,-2.381279999999999859e+02
-4.184899999999999665e+01,-3.750000000000000000e+01,-2.378849999999999909e+02
-4.229999999999999716e+01,-3.704999999999999716e+01,-2.386119999999999948e+02
-4.245000000000000284e+01,-3.675000000000000000e+01,-2.388540000000000134e+02
-4.139999999999999858e+01,-3.675000000000000000e+01,-2.398220000000000027e+02
-4.200000000000000000e+01,-3.720000000000000284e+01,-2.388540000000000134e+02
-4.184899999999999665e+01,-3.629999999999999716e+01,-2.390960000000000036e+02
-4.214999999999999858e+01,-3.629999999999999716e+01,-2.383700000000000045e+02
-4.245000000000000284e+01,-3.809899999999999665e+01,-2.381279999999999859e+02
-4.154999999999999716e+01,-3.779999999999999716e+01,-2.388540000000000134e+02
-4.259899999999999665e+01,-3.614999999999999858e+01,-2.393379999999999939e+02
-4.184899999999999665e+01,-3.704999999999999716e+01,-2.383700000000000045e+02
-4.245000000000000284e+01,-3.689999999999999858e+01,-2.376440000000000055e+02
-4.154999999999999716e+01,-3.675000000000000000e+01,-2.388540000000000134e+02
-4.229999999999999716e+01,-3.704999999999999716e+01,-2.386119999999999948e+02
-4.170000000000000284e+01,-3.689999999999999858e+01,-2.376440000000000055e+02
-4.139999999999999858e+01,-3.734899999999999665e+01,-2.383700000000000045e+02
-4.200000000000000000e+01,-3.659899999999999665e+01,-2.383700000000000045e+02
-4.200000000000000000e+01,-3.764999999999999858e+01,-2.383700000000000045e+02
-4.170000000000000284e+01,-3.720000000000000284e+01,-2.381279999999999859e+02
-4.245000000000000284e+01,-3.689999999999999858e+01,-2.395800000000000125e+02
-4.229999999999999716e+01,-3.720000000000000284e+01,-2.388540000000000134e+02
-4.229999999999999716e+01,-3.659899999999999665e+01,-2.386119999999999948e+02
-4.214999999999999858e+01,-3.750000000000000000e+01,-2.390960000000000036e+02
-4.200000000000000000e+01,-3.764999999999999858e+01,-2.390960000000000036e+02
-4.154999999999999716e+01,-3.704999999999999716e+01,-2.388540000000000134e+02
-4.229999999999999716e+01,-3.734899999999999665e+01,-2.393379999999999939e+02
-4.214999999999999858e+01,-3.689999999999999858e+01,-2.383700000000000045e+02
-4.125000000000000000e+01,-3.659899999999999665e+01,-2.374019999999999868e+02
-4.200000000000000000e+01,-3.689999999999999858e+01,-2.371589999999999918e+02
-4.184899999999999665e+01,-3.675000000000000000e+01,-2.378849999999999909e+02
-4.109899999999999665e+01,-3.704999999999999716e+01,-2.383700000000000045e+02
-4.245000000000000284e+01,-3.689999999999999858e+01,-2.381279999999999859e+02
-4.170000000000000284e+01,-3.689999999999999858e+01,-2.386119999999999948e+02
-4.125000000000000000e+01,-3.675000000000000000e+01,-2.393379999999999939e+02
-4.229999999999999716e+01,-3.689999999999999858e+01,-2.383700000000000045e+02
-4.125000000000000000e+01,-3.675000000000000000e+01,-2.381279999999999859e+02
-4.184899999999999665e+01,-3.720000000000000284e+01,-2.381279999999999859e+02
-4.139999999999999858e+01,-3.704999999999999716e+01,-2.378849999999999909e+02
-4.170000000000000284e+01,-3.750000000000000000e+01,-2.386119999999999948e+02
-4.245000000000000284e+01,-3.734899999999999665e+01,-2.388540000000000134e+02
-4.200000000000000000e+01,-3.704999999999999716e+01,-2.383700000000000045e+02
-4.229999999999999716e+01,-3.734899999999999665e+01,-2.388540000000000134e+02
-4.125000000000000000e+01,-3.704999999999999716e+01,-2.383700000000000045e+02
-4.154999999999999716e+01,-3.675000000000000000e+01,-2.386119999999999948e+02
-4.259899999999999665e+01,-3.689999999999999858e+01,-2.381279999999999859e+02
