q_mm,q_target_mm,direction,n_tail,mean_Bx_uT,sigma_Bx_uT,mean_By_uT,sigma_By_uT,mean_Bz_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
68.0,68.0,up,150,107.4458,0.4079,-110.5227,0.4302,-390.9121,0.6827,-173.9892,1058.3413,3075.2179,420.2049
70.0,70.0,up,150,95.6998,0.3823,-103.5078,0.4072,-379.2251,0.6464,-185.7352,1065.3562,3086.9049,404.5787
72.0,72.0,up,150,84.8228,0.4108,-97.1048,0.4266,-368.4657,0.6845,-196.6122,1071.7592,3097.6643,390.3732
74.0,74.0,up,150,74.8888,0.4234,-91.1578,0.4178,-358.3018,0.6239,-206.5462,1077.7062,3107.8282,377.2245
76.0,76.0,up,150,65.8428,0.4136,-86.0478,0.4444,-348.9733,0.5800,-215.5922,1082.8162,3117.1567,365.4065
78.0,78.0,up,150,57.3968,0.3716,-81.1888,0.4136,-340.1309,0.6031,-224.0382,1087.6752,3125.9991,354.3657
80.0,80.0,up,150,49.4988,0.4429,-77.0268,0.4691,-332.3399,0.5974,-231.9362,1091.8372,3133.7901,344.7218
82.0,82.0,up,150,42.3998,0.4368,-73.2308,0.3957,-324.9152,0.5997,-239.0352,1095.6332,3141.2148,335.7535
84.0,84.0,up,150,35.6218,0.4538,-69.8198,0.4030,-318.1491,0.6108,-245.8132,1099.0442,3147.9809,327.6623
86.0,86.0,up,150,29.5368,0.3819,-66.5018,0.4299,-311.7763,0.6218,-251.8982,1102.3622,3154.3537,320.1553
88.0,88.0,up,150,23.6448,0.4387,-63.7588,0.3808,-305.9410,0.5868,-257.7902,1105.1052,3160.1890,313.4074
90.0,90.0,up,150,18.4148,0.4374,-61.1798,0.4474,-300.2298,0.6507,-263.0202,1107.6842,3165.9002,306.9528
92.0,92.0,up,150,13.3178,0.3794,-58.8129,0.4224,-295.2849,0.5359,-268.1172,1110.0511,3170.8451,301.3793
94.0,94.0,up,150,8.5647,0.4333,-56.6828,0.4262,-290.2658,0.5425,-272.8703,1112.1812,3175.8642,295.8725
