Bx_uT,By_uT,Bz_uT
1.439899999999999913e+01,-4.634899999999999665e+01,-5.081999999999999851e+00
1.469999999999999929e+01,-4.620000000000000284e+01,-5.807999999999999829e+00
1.425000000000000000e+01,-4.634899999999999665e+01,-4.839999999999999858e+00
1.425000000000000000e+01,-4.529999999999999716e+01,-5.081999999999999851e+00
1.425000000000000000e+01,-4.650000000000000000e+01,-6.291999999999999815e+00
1.469999999999999929e+01,-4.604999999999999716e+01,-5.565999999999999837e+00
1.484999999999999964e+01,-4.575000000000000000e+01,-5.565999999999999837e+00
1.455000000000000071e+01,-4.575000000000000000e+01,-6.049999999999999822e+00
1.484999999999999964e+01,-4.589999999999999858e+01,-5.323999999999999844e+00
1.425000000000000000e+01,-4.650000000000000000e+01,-4.839999999999999858e+00
1.380000000000000071e+01,-4.620000000000000284e+01,-5.807999999999999829e+00
1.364899999999999913e+01,-4.604999999999999716e+01,-5.081999999999999851e+00
1.425000000000000000e+01,-4.634899999999999665e+01,-5.081999999999999851e+00
1.409999999999999964e+01,-4.575000000000000000e+01,-4.597000000000000419e+00
1.425000000000000000e+01,-4.650000000000000000e+01,-5.323999999999999844e+00
1.380000000000000071e+01,-4.589999999999999858e+01,-5.323999999999999844e+00
1.394999999999999929e+01,-4.634899999999999665e+01,-5.807999999999999829e+00
1.394999999999999929e+01,-4.559899999999999665e+01,-5.081999999999999851e+00
1.425000000000000000e+01,-4.650000000000000000e+01,-5.081999999999999851e+00
1.380000000000000071e+01,-4.604999999999999716e+01,-4.355999999999999872e+00
1.469999999999999929e+01,-4.559899999999999665e+01,-4.839999999999999858e+00
1.364899999999999913e+01,-4.679999999999999716e+01,-4.839999999999999858e+00
1.455000000000000071e+01,-4.589999999999999858e+01,-7.017999999999999794e+00
1.439899999999999913e+01,-4.559899999999999665e+01,-5.565999999999999837e+00
1.455000000000000071e+01,-4.589999999999999858e+01,-4.355999999999999872e+00
1.425000000000000000e+01,-4.620000000000000284e+01,-3.629999999999999893e+00
1.425000000000000000e+01,-4.559899999999999665e+01,-5.565999999999999837e+00
1.409999999999999964e+01,-4.620000000000000284e+01,-4.113999999999999879e+00
1.409999999999999964e+01,-4.634899999999999665e+01,-5.081999999999999851e+00
1.484999999999999964e+01,-4.604999999999999716e+01,-5.081999999999999851e+00
1.409999999999999964e+01,-4.575000000000000000e+01,-5.323999999999999844e+00
1.409999999999999964e+01,-4.604999999999999716e+01,-5.323999999999999844e+00
1.455000000000000071e+01,-4.634899999999999665e+01,-5.807999999999999829e+00
1.544999999999999929e+01,-4.620000000000000284e+01,-5.565999999999999837e+00
1.439899999999999913e+01,-4.620000000000000284e+01,-5.081999999999999851e+00
1.364899999999999913e+01,-4.634899999999999665e+01,-5.565999999999999837e+00
1.409999999999999964e+01,-4.559899999999999665e+01,-5.565999999999999837e+00
1.380000000000000071e+01,-4.604999999999999716e+01,-5.323999999999999844e+00
1.394999999999999929e+01,-4.529999999999999716e+01,-6.049999999999999822e+00
