q_mm,q_target_mm,direction,mark10_pos_mm,n_tail,mean_Bx_uT,sigma_Bx_uT,mean_By_uT,sigma_By_uT,mean_Bz_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
62.030,62.0,up,-77.970,150,-95.0228,0.4111,-67.6838,0.4254,81.2408,0.6082,-376.4578,1101.1802,3547.3708,142.1636
64.030,64.0,up,-75.970,150,-81.6118,0.4659,-64.8818,0.4173,69.9506,0.5690,-363.0468,1103.9822,3536.0806,125.5517
66.030,66.0,up,-73.970,150,-69.3627,0.4356,-62.3908,0.4114,59.5784,0.5749,-350.7977,1106.4732,3525.7084,110.6950
68.030,68.0,up,-71.970,150,-57.9628,0.4054,-60.0357,0.3981,50.1178,0.6593,-339.3978,1108.8283,3516.2478,97.3436
70.030,70.0,up,-69.970,150,-47.3628,0.4330,-57.9678,0.4104,41.6449,0.6550,-328.7978,1110.8962,3507.7749,85.6609
72.030,72.0,up,-67.970,150,-37.6628,0.4057,-55.8928,0.4019,33.8233,0.6699,-319.0978,1112.9712,3499.9533,75.4089
74.030,74.0,up,-65.970,150,-28.4588,0.3936,-53.9418,0.4653,26.7231,0.6512,-309.8938,1114.9222,3492.8531,66.5864
76.030,76.0,up,-63.970,150,-20.0728,0.4109,-52.2648,0.4216,20.1068,0.6393,-301.5078,1116.5992,3486.2368,59.4879
78.030,78.0,up,-61.970,150,-12.1938,0.4078,-50.7628,0.4276,14.1746,0.6233,-293.6288,1118.1012,3480.3046,54.0969
80.030,80.0,up,-59.970,150,-4.8579,0.4253,-49.3138,0.4191,8.5248,0.5767,-286.2929,1119.5502,3474.6548,50.2804
82.030,82.0,up,-57.970,150,1.9857,0.4000,-48.0508,0.4267,3.6848,0.6111,-279.4493,1120.8132,3469.8148,48.2328
84.030,84.0,up,-55.970,150,8.3258,0.4444,-46.8848,0.3841,-1.0793,0.5958,-273.1092,1121.9792,3465.0507,47.6305
86.030,86.0,up,-53.970,150,14.3158,0.4107,-45.8528,0.4168,-5.4804,0.5923,-267.1192,1123.0112,3460.6496,48.3473
88.030,88.0,up,-51.970,150,19.9078,0.4225,-44.7348,0.4111,-9.3894,0.6473,-261.5272,1124.1292,3456.7406,49.8567
90.030,90.0,up,-49.970,150,25.2118,0.3766,-43.7658,0.4221,-13.0921,0.6076,-256.2232,1125.0982,3453.0379,52.1774
92.030,92.0,up,-47.970,150,30.1898,0.4008,-42.8478,0.4182,-16.4912,0.5646,-251.2452,1126.0162,3449.6388,54.9483
94.030,94.0,up,-45.970,150,34.8788,0.4037,-42.1348,0.4159,-19.6100,0.5693,-246.5562,1126.7292,3446.5200,58.1070
96.030,96.0,up,-43.970,150,39.0498,0.4015,-41.3918,0.3881,-22.6221,0.6368,-242.3852,1127.4722,3443.5079,61.2366
98.030,98.0,up,-41.970,150,43.0638,0.3968,-40.8688,0.4081,-25.1566,0.5863,-238.3712,1127.9952,3440.9734,64.4795
100.030,100.0,up,-39.970,150,47.0128,0.4017,-40.1088,0.3707,-27.6976,0.5944,-234.4222,1128.7552,3438.4324,67.7206
102.030,102.0,up,-37.970,150,50.5568,0.4129,-39.5128,0.4435,-29.9659,0.5866,-230.8782,1129.3512,3436.1641,70.8181
104.030,104.0,up,-35.970,150,54.0989,0.4347,-38.9748,0.3853,-32.0193,0.5827,-227.3361,1129.8892,3434.1107,73.9659
106.030,106.0,up,-33.970,150,57.2018,0.4156,-38.3708,0.4037,-34.1186,0.6195,-224.2332,1130.4932,3432.0114,76.8664
108.030,108.0,up,-31.970,150,60.0828,0.3896,-37.9938,0.3954,-36.0545,0.5422,-221.3522,1130.8702,3430.0755,79.7082
110.030,110.0,up,-29.970,150,62.9428,0.4037,-37.5068,0.3906,-37.7487,0.5835,-218.4922,1131.3572,3428.3813,82.4228
112.030,112.0,up,-27.970,150,65.6368,0.4526,-37.1688,0.3979,-39.3844,0.5773,-215.7982,1131.6952,3426.7456,85.0931
114.030,114.0,up,-25.970,150,68.2127,0.4267,-36.7618,0.4329,-40.8366,0.5461,-213.2223,1132.1022,3425.2934,87.5902
116.030,116.0,up,-23.970,150,70.5498,0.3924,-36.4718,0.4497,-42.3305,0.6015,-210.8852,1132.3922,3423.7995,89.9963
118.030,118.0,up,-21.970,150,72.9348,0.4404,-36.2308,0.3822,-43.7016,0.6184,-208.5002,1132.6332,3422.4284,92.4229
120.030,120.0,up,-19.970,150,74.9548,0.4078,-35.8018,0.4013,-44.9281,0.6168,-206.4802,1133.0622,3421.2019,94.4379
122.030,122.0,up,-17.970,150,76.9698,0.3885,-35.5297,0.4011,-46.1297,0.5703,-204.4652,1133.3343,3420.0003,96.5125
124.030,124.0,up,-15.970,150,78.9878,0.3756,-35.0688,0.4304,-47.1188,0.6286,-202.4472,1133.7952,3419.0112,98.4331
126.030,126.0,up,-13.970,150,80.8628,0.4082,-34.9818,0.4070,-48.1771,0.6801,-200.5722,1133.8822,3417.9529,100.4169
128.030,128.0,up,-11.970,150,82.5978,0.4034,-34.6897,0.3872,-49.1515,0.6387,-198.8372,1134.1743,3416.9785,102.1843
130.030,130.0,up,-9.970,150,84.2538,0.3955,-34.5078,0.3927,-50.1355,0.6224,-197.1812,1134.3562,3415.9945,103.9378
132.020,132.0,up,-7.980,150,85.8678,0.3754,-34.3598,0.4064,-50.9634,0.5821,-195.5672,1134.5042,3415.1666,105.5990
134.020,134.0,up,-5.980,150,87.2338,0.4364,-34.1408,0.4464,-51.6409,0.5860,-194.2012,1134.7232,3414.4891,106.9679
136.020,136.0,up,-3.980,150,88.6108,0.4361,-34.0428,0.3646,-52.4718,0.5979,-192.8242,1134.8212,3413.6582,108.4623
138.030,138.0,up,-1.970,150,89.9668,0.4551,-33.8828,0.3992,-53.0621,0.5811,-191.4682,1134.9812,3413.0679,109.8073
140.000,140.0,up,0.000,150,91.2808,0.4470,-33.6628,0.3915,-53.8399,0.6104,-190.1542,1135.2012,3412.2901,111.1940
