trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,90,holding,force_hold,0.81000,0.795000,-0.015000,3.0900,-4.8800,2.9537,none,48.0790,-4170.3380,-4446.0230,34.8580,-695.2825,-2895.3677,6095.9947
1,90,holding,force_hold,0.81000,0.794100,-0.015900,3.0900,-4.8800,3.0422,none,48.0790,-4169.1350,-4446.9920,34.8580,-694.0795,-2896.3367,6095.8786
1,90,holding,force_hold,0.81000,0.792400,-0.017600,3.0900,-4.8800,3.1308,none,48.0790,-4169.7360,-4444.0880,34.8580,-694.6805,-2893.4327,6094.1716
1,90,holding,force_hold,0.81000,0.791500,-0.018500,3.0900,-4.8800,3.2189,none,48.6800,-4169.1350,-4446.0230,35.4590,-694.0795,-2895.3677,6095.1765
1,90,holding,force_hold,0.81000,0.792600,-0.017400,3.0900,-4.8800,3.3069,none,49.2810,-4169.1350,-4446.0230,36.0600,-694.0795,-2895.3677,6095.1814
1,90,holding,force_hold,0.81000,0.793100,-0.016900,3.0900,-4.8800,3.3959,none,48.0790,-4169.1350,-4446.0230,34.8580,-694.0795,-2895.3677,6095.1718
1,90,holding,force_hold,0.81000,0.793700,-0.016300,3.0900,-4.8800,3.4844,none,48.6800,-4167.9340,-4446.0230,35.4590,-692.8785,-2895.3677,6094.3551
1,90,holding,force_hold,0.81000,0.794700,-0.015300,3.0900,-4.8800,3.5727,none,48.6800,-4168.5330,-4446.0230,35.4590,-693.4775,-2895.3677,6094.7648
1,90,holding,force_hold,0.81000,0.794100,-0.015900,3.0900,-4.8800,3.6608,none,47.4790,-4169.1350,-4444.0880,34.2580,-694.0795,-2893.4327,6093.7557
1,90,holding,force_hold,0.81000,0.791500,-0.018500,3.0900,-4.8800,3.7496,none,48.0790,-4167.9340,-4446.9920,34.8580,-692.8785,-2896.3367,6095.0573
1,90,holding,force_hold,0.81000,0.792400,-0.017600,3.0900,-4.8800,3.8379,none,48.6800,-4168.5330,-4445.0550,35.4590,-693.4775,-2894.3997,6094.0587
1,90,holding,force_hold,0.81000,0.792900,-0.017100,3.0900,-4.8800,3.9263,none,48.0790,-4167.3330,-4444.0880,34.8580,-692.2775,-2893.4327,6092.5277
1,90,holding,force_hold,0.81000,0.792000,-0.018000,3.0900,-4.8800,4.0149,none,48.6800,-4167.9340,-4445.0550,35.4590,-692.8785,-2894.3997,6093.6489
1,90,holding,force_hold,0.81000,0.792200,-0.017800,3.0900,-4.8800,4.1029,none,48.6800,-4169.1350,-4445.0550,35.4590,-694.0795,-2894.3997,6094.4705
1,90,holding,force_hold,0.81000,0.792800,-0.017200,3.0900,-4.8800,4.1915,none,48.0790,-4167.9340,-4444.0880,34.8580,-692.8785,-2893.4327,6092.9388
1,90,holding,force_hold,0.81000,0.791200,-0.018800,3.0900,-4.8800,4.2800,none,48.6800,-4168.5330,-4445.0550,35.4590,-693.4775,-2894.3997,6094.0587
1,90,holding,force_hold,0.81000,0.790900,-0.019100,3.0900,-4.8800,4.3683,none,48.0790,-4168.5330,-4445.0550,34.8580,-693.4775,-2894.3997,6094.0539
1,90,holding,force_hold,0.81000,0.792500,-0.017500,3.0900,-4.8800,4.4568,none,48.0790,-4168.5330,-4445.0550,34.8580,-693.4775,-2894.3997,6094.0539
1,90,holding,force_hold,0.81000,0.791000,-0.019000,3.0900,-4.8800,4.5445,none,47.4790,-4168.5330,-4445.0550,34.2580,-693.4775,-2894.3997,6094.0492
1,90,holding,force_hold,0.81000,0.789900,-0.020100,3.0900,-4.8800,4.6332,none,48.6800,-4168.5330,-4444.0880,35.4590,-693.4775,-2893.4327,6093.3534
1,90,holding,force_hold,0.81000,0.789300,-0.020700,3.0900,-4.8800,4.7219,none,48.6800,-4167.9340,-4445.0550,35.4590,-692.8785,-2894.3997,6093.6489
1,90,holding,force_hold,0.81000,0.789600,-0.020400,3.0900,-4.8800,4.8095,none,48.6800,-4167.9340,-4443.1190,35.4590,-692.8785,-2892.4637,6092.2369
1,90,holding,force_hold,0.81000,0.792100,-0.017900,3.0900,-4.8800,4.8987,none,48.6800,-4167.3330,-4445.0550,35.4590,-692.2775,-2894.3997,6093.2379
1,90,holding,force_hold,0.81000,0.791200,-0.018800,3.0900,-4.8800,4.9872,none,48.0790,-4167.9340,-4443.1190,34.8580,-692.8785,-2892.4637,6092.2321
1,90,holding,force_hold,0.81000,0.792800,-0.017200,3.0900,-4.8800,5.0757,none,48.6800,-4167.3330,-4443.1190,35.4590,-692.2775,-2892.4637,6091.8257
1,90,holding,force_hold,0.81000,0.790900,-0.019100,3.0900,-4.8800,5.1639,none,49.2810,-4167.3330,-4445.0550,36.0600,-692.2775,-2894.3997,6093.2427
1,90,holding,force_hold,0.81000,0.790000,-0.020000,3.0900,-4.8800,5.2523,none,48.0790,-4167.3330,-4445.0550,34.8580,-692.2775,-2894.3997,6093.2331
1,90,holding,force_hold,0.81000,0.790400,-0.019600,3.0900,-4.8800,5.3410,none,48.0790,-4167.9340,-4443.1190,34.8580,-692.8785,-2892.4637,6092.2321
1,90,holding,force_hold,0.81000,0.792300,-0.017700,3.0900,-4.8800,5.4287,none,47.4790,-4167.9340,-4444.0880,34.2580,-692.8785,-2893.4327,6092.9341
1,90,holding,force_hold,0.81000,0.790500,-0.019500,3.0900,-4.8800,5.5178,none,48.6800,-4167.3330,-4444.0880,35.4590,-692.2775,-2893.4327,6092.5325
1,90,holding,force_hold,0.81000,0.790100,-0.019900,3.0900,-4.8800,5.6059,none,48.0790,-4167.3330,-4443.1190,34.8580,-692.2775,-2892.4637,6091.8209
1,90,holding,force_hold,0.81000,0.789100,-0.020900,3.0900,-4.8800,5.6945,none,48.0790,-4166.7310,-4443.1190,34.8580,-691.6755,-2892.4637,6091.4091
1,90,holding,force_hold,0.81000,0.789600,-0.020400,3.0900,-4.8800,5.7830,none,48.6800,-4166.7310,-4443.1190,35.4590,-691.6755,-2892.4637,6091.4139
