trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,30,holding,force_hold,0.27000,0.229300,-0.040700,1.8000,-3.5900,0.0000,down,-24.0390,-3244.7980,-1732.7200,-37.2600,230.2575,-182.0647,3678.5337
1,30,holding,force_hold,0.27000,0.229300,-0.040700,1.8000,-3.5900,4.1995,down,-24.0390,-3244.7980,-1730.7830,-37.2600,230.2575,-180.1277,3677.6217
1,30,holding,force_hold,0.27000,0.231000,-0.039000,1.8000,-3.5900,8.3451,down,-24.6400,-3244.1960,-1731.7520,-37.8610,230.8595,-181.0967,3677.5508
1,30,holding,force_hold,0.27000,0.231500,-0.038500,1.8000,-3.5900,12.4893,down,-23.4380,-3244.7980,-1730.7830,-36.6590,230.2575,-180.1277,3677.6179
1,30,holding,force_hold,0.27000,0.231200,-0.038800,1.8000,-3.5900,16.6520,down,-21.0340,-3317.5190,-1886.6320,-34.2550,157.5365,-335.9767,3816.5108
1,30,holding,force_hold,0.27000,0.230600,-0.039400,1.8000,-3.5900,20.7981,down,-21.0340,-3315.7160,-1886.6320,-34.2550,159.3395,-335.9767,3814.9437
1,30,holding,force_hold,0.27000,0.231900,-0.038100,1.8000,-3.5900,24.9646,down,-21.0340,-3316.3160,-1885.6640,-34.2550,158.7395,-335.0087,3814.9866
1,30,holding,force_hold,0.27000,0.229400,-0.040600,1.8000,-3.5900,29.1001,down,-21.0340,-3315.1140,-1885.6640,-34.2550,159.9415,-335.0087,3813.9418
1,30,holding,force_hold,0.27000,0.230000,-0.040000,1.8000,-3.5900,33.2390,down,-21.0340,-3315.7160,-1884.6950,-34.2550,159.3395,-334.0397,3813.9861
1,30,holding,force_hold,0.27000,0.230900,-0.039100,1.8000,-3.5900,37.3895,down,-21.6350,-3315.1140,-1883.7280,-34.8560,159.9415,-333.0727,3812.9883
1,30,holding,force_hold,0.27000,0.230600,-0.039400,1.8000,-3.5900,41.5376,down,-20.4330,-3314.5140,-1885.6640,-33.6540,160.5415,-335.0087,3813.4170
