trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,60,holding,force_hold,0.54000,0.524000,-0.016000,2.5700,-4.3600,0.0000,none,10.2160,-3750.8390,-3148.9040,-3.0050,-275.7835,-1598.2487,4897.3967
1,60,holding,force_hold,0.54000,0.525700,-0.014300,2.5700,-4.3600,0.0401,none,10.8170,-3750.2380,-3148.9040,-2.4040,-275.1825,-1598.2487,4896.9377
1,60,holding,force_hold,0.54000,0.524000,-0.016000,2.5700,-4.3600,0.1283,none,10.2160,-3749.0360,-3146.9680,-3.0050,-273.9805,-1596.3127,4894.7710
1,60,holding,force_hold,0.54000,0.524100,-0.015900,2.5700,-4.3600,0.2168,none,10.8170,-3750.8390,-3147.9360,-2.4040,-275.7835,-1597.2807,4896.7756
1,60,holding,force_hold,0.54000,0.522900,-0.017100,2.5700,-4.3600,0.3052,none,12.6200,-3787.5010,-3220.5360,-0.6010,-312.4455,-1669.8807,4971.6371
1,60,holding,force_hold,0.54000,0.522300,-0.017700,2.5700,-4.3600,0.3934,none,12.6200,-3786.8990,-3219.5670,-0.6010,-311.8435,-1668.9117,4970.5508
1,60,holding,force_hold,0.54000,0.523300,-0.016700,2.5700,-4.3600,0.4820,none,12.6200,-3786.2990,-3217.6320,-0.6010,-311.2435,-1666.9767,4968.8404
1,60,holding,force_hold,0.54000,0.523600,-0.016400,2.5700,-4.3600,0.5704,none,12.6200,-3784.4950,-3218.6000,-0.6010,-309.4395,-1667.9447,4968.0930
1,60,holding,force_hold,0.54000,0.522400,-0.017600,2.5700,-4.3600,0.6587,none,12.0190,-3784.4950,-3216.6640,-1.2020,-309.4395,-1666.0087,4966.8374
1,60,holding,force_hold,0.54000,0.522400,-0.017600,2.5700,-4.3600,0.7471,none,13.2210,-3784.4950,-3217.6320,0.0000,-309.4395,-1666.9767,4967.4675
1,60,holding,force_hold,0.54000,0.522900,-0.017100,2.5700,-4.3600,0.8353,none,11.4180,-3783.2940,-3216.6640,-1.8030,-308.2385,-1666.0087,4965.9210
1,60,holding,force_hold,0.54000,0.521600,-0.018400,2.5700,-4.3600,0.9239,none,12.6200,-3782.6920,-3216.6640,-0.6010,-307.6365,-1666.0087,4965.4653
1,60,holding,force_hold,0.54000,0.521900,-0.018100,2.5700,-4.3600,1.0122,none,13.2210,-3782.0920,-3214.7270,0.0000,-307.0365,-1664.0717,4963.7551
1,60,holding,force_hold,0.54000,0.521900,-0.018100,2.5700,-4.3600,1.1004,none,11.4180,-3782.0920,-3215.6960,-1.8030,-307.0365,-1665.0407,4964.3782
1,60,holding,force_hold,0.54000,0.520800,-0.019200,2.5700,-4.3600,1.1889,none,12.0190,-3781.4900,-3215.6960,-1.2020,-306.4345,-1665.0407,4963.9210
1,60,holding,force_hold,0.54000,0.520800,-0.019200,2.5700,-4.3600,1.2772,none,13.2210,-3780.8900,-3214.7270,0.0000,-305.8345,-1664.0717,4962.8393
1,60,holding,force_hold,0.54000,0.520700,-0.019300,2.5700,-4.3600,1.3657,none,12.6200,-3781.4900,-3216.6640,-0.6010,-306.4345,-1666.0087,4964.5496
1,60,holding,force_hold,0.54000,0.521200,-0.018800,2.5700,-4.3600,1.4542,none,12.6200,-3781.4900,-3216.6640,-0.6010,-306.4345,-1666.0087,4964.5496
1,60,holding,force_hold,0.54000,0.520000,-0.020000,2.5700,-4.3600,1.5423,none,12.0190,-3782.0920,-3214.7270,-1.2020,-307.0365,-1664.0717,4963.7520
1,60,holding,force_hold,0.54000,0.521300,-0.018700,2.5700,-4.3600,1.6308,none,12.6200,-3781.4900,-3214.7270,-0.6010,-306.4345,-1664.0717,4963.2948
1,60,holding,force_hold,0.54000,0.520100,-0.019900,2.5700,-4.3600,1.7193,none,13.2210,-3780.2890,-3215.6960,0.0000,-305.2335,-1665.0407,4963.0092
1,60,holding,force_hold,0.54000,0.520300,-0.019700,2.5700,-4.3600,1.8074,none,12.0190,-3780.2890,-3214.7270,-1.2020,-305.2335,-1664.0717,4962.3784
