trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.0000,5.795300,-738.6280,4633.1090,8500.0100,-296.0701,1806.3327,5359.4080,9708.8331
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.0471,5.794100,-736.8250,4638.5140,8500.9760,-294.2671,1811.7377,5360.3740,9712.1221
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.1352,5.791700,-733.8200,4636.7120,8497.1040,-291.2621,1809.9357,5356.5020,9707.6447
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.2230,5.788300,-738.6280,4634.9110,8498.0740,-296.0701,1808.1347,5357.4720,9707.9984
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.3111,5.787700,-736.8250,4639.1170,8505.8180,-294.2671,1812.3407,5365.2160,9716.6485
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.3991,5.785700,-733.8200,4638.5140,8505.8180,-291.2621,1811.7377,5365.2160,9716.1332
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.4873,5.785600,-732.6180,4632.5060,8500.0100,-290.0601,1805.7297,5359.4080,9708.0900
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.5751,5.786000,-741.0320,4636.7120,8507.7490,-298.4741,1809.9357,5367.1470,9717.5110
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.6632,5.785000,-738.0270,4636.7120,8501.9410,-295.4691,1809.9357,5361.3390,9712.1976
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.7513,5.781800,-734.4210,4637.9140,8501.9410,-291.8631,1811.1377,5361.3390,9712.4982
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.8393,5.779800,-735.6230,4636.1120,8506.7830,-293.0651,1809.3357,5366.1810,9715.9679
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,0.9274,5.779500,-733.2190,4637.3140,8506.7830,-290.6611,1810.5377,5366.1810,9716.3598
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,1.0154,5.779600,-738.0270,4643.9270,8495.1680,-295.4691,1817.1507,5354.5660,9709.7179
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,1.1045,5.777500,-733.2190,4641.5220,8502.9110,-290.6611,1814.7457,5362.3090,9714.9798
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,1.1917,5.778300,-742.8350,4639.7190,8512.5920,-300.2771,1812.9427,5371.9900,9723.3234
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,1.2797,5.777600,-733.2190,4642.1220,8506.7830,-290.6611,1815.3457,5366.1810,9718.6555
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,1.3674,5.776400,-736.8250,4638.5140,8505.8180,-294.2671,1811.7377,5365.2160,9716.3606
3,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4200,1.4554,5.775700,-739.8310,4634.3090,8499.0400,-297.2731,1807.5327,5358.4380,9708.6482
