trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.0000,5.654000,-732.6180,4637.9140,8459.3540,-290.0601,1811.1377,5318.7520,9675.1044
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.0554,5.654500,-732.6180,4640.9200,8449.6740,-290.0601,1814.1437,5309.0720,9668.0845
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.1433,5.652700,-730.8150,4639.7190,8457.4180,-288.2571,1812.9427,5316.8160,9674.1409
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.2314,5.653400,-733.8200,4646.3280,8457.4180,-291.2621,1819.5517,5316.8160,9677.5397
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.3194,5.651300,-730.8150,4634.3090,8455.4820,-288.2571,1807.5327,5314.8800,9669.8545
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.4074,5.650200,-729.6130,4638.5140,8455.4820,-287.0551,1811.7377,5314.8800,9671.7797
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.4962,5.647600,-729.0120,4642.1220,8458.3840,-286.4541,1815.3457,5317.7820,9676.0020
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.5845,5.647200,-733.8200,4641.5220,8456.4470,-291.2621,1814.7457,5315.8450,9674.3844
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.6714,5.647400,-730.2140,4643.3250,8450.6400,-287.6561,1816.5487,5310.0380,9669.9015
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.7594,5.647100,-728.4110,4639.7190,8458.3840,-285.8531,1812.9427,5317.7820,9674.8041
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.8477,5.646100,-726.6080,4639.1170,8450.6400,-284.0501,1812.3407,5310.0380,9667.6099
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,0.9356,5.644500,-732.6180,4641.5220,8459.3540,-290.0601,1814.7457,5318.7520,9676.8345
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,1.0236,5.642000,-732.6180,4643.9270,8456.4470,-290.0601,1817.1507,5315.8450,9675.4474
2,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.4000,1.1116,5.640000,-724.8050,4645.1270,8461.2850,-282.2471,1818.3507,5320.6830,9679.6638
