time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780345052.022347,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,1.8092,1.929200,1033.1190,-5132.5380,9074.0310,331.6461,-5744.9363,4523.8197,10476.0832,,,
1780345052.109923,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,1.8972,1.928500,1027.1080,-5136.7440,9080.8150,325.6351,-5749.1423,4530.6037,10483.4293,,,
1780345052.197920,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,1.9852,1.928100,1032.5170,-5139.1490,9074.0310,331.0441,-5751.5473,4523.8197,10479.2644,,,
1780345052.285926,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.0732,1.929500,1030.7140,-5133.1410,9069.1940,329.2411,-5745.5393,4518.9827,10471.9524,,,
1780345052.373566,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.1613,1.929100,1032.5170,-5130.7350,9079.8400,331.0441,-5743.1333,4529.6287,10480.1731,,,
1780345052.462287,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.2493,1.927700,1033.7200,-5137.3460,9070.1600,332.2471,-5749.7443,4519.9487,10475.1469,,,
1780345052.550316,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.3373,1.929000,1034.3200,-5136.7440,9077.9040,332.8471,-5749.1423,4527.6927,10481.6171,,,
1780345052.638157,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.4253,1.928400,1033.1190,-5141.5540,9075.9680,331.6461,-5753.9523,4525.7567,10482.1805,,,
1780345052.725680,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.5135,1.929000,1034.3200,-5137.9490,9080.8150,332.8471,-5750.3473,4530.6037,10484.7288,,,
1780345052.814020,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.6014,1.927900,1033.7200,-5134.3430,9077.9040,332.2471,-5746.7413,4527.6927,10480.3815,,,
1780345052.902015,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.6893,1.927200,1032.5170,-5137.3460,9078.8740,331.0441,-5749.7443,4528.6627,10482.5745,,,
1780345052.990353,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.7776,1.928100,1031.9160,-5133.7410,9083.7120,330.4431,-5746.1393,4533.5007,10484.9402,,,
1780345053.079001,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.8653,1.929500,1031.9160,-5136.1440,9071.1300,330.4431,-5748.5423,4520.9187,10475.2196,,,
1780345053.166541,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,2.9541,1.928100,1034.3200,-5131.9360,9076.9380,332.8471,-5744.3343,4526.7267,10478.4249,,,
1780345053.254314,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.0415,1.926700,1033.1190,-5134.3430,9067.2530,331.6461,-5746.7413,4517.0417,10471.0978,,,
1780345053.342294,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.1296,1.927000,1034.9210,-5135.5440,9075.9680,333.4481,-5747.9423,4525.7567,10479.4117,,,
1780345053.429963,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.2176,1.925100,1034.3200,-5133.7410,9075.9680,332.8471,-5746.1393,4525.7567,10478.4689,,,
1780345053.518206,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.3056,1.924300,1034.9210,-5136.1440,9075.0020,333.4481,-5748.5423,4524.7907,10478.8691,,,
1780345053.606339,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.3938,1.924100,1036.7240,-5137.3460,9072.0950,335.2511,-5749.7443,4521.8837,10477.1193,,,
1780345053.694200,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,3.4816,1.924200,1033.1190,-5131.9360,9075.9680,331.6461,-5744.3343,4525.7567,10477.4662,,,
