time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780345371.370133,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.0000,2.063200,1027.7090,-5405.3920,9189.2260,326.2361,-6017.7903,4639.0147,10710.5706,,,
1780345371.457790,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.0545,2.062400,1025.9060,-5403.5890,9189.2260,324.4331,-6015.9873,4639.0147,10709.4879,,,
1780345371.546282,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.1422,2.062100,1029.5120,-5398.1780,9178.5760,328.0391,-6010.5763,4628.3647,10697.9661,,,
1780345371.633848,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.2304,2.060800,1027.7090,-5409.6000,9185.3540,326.2361,-6021.9983,4635.1427,10709.3737,,,
1780345371.721807,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.3185,2.060600,1028.9120,-5402.9890,9190.1920,327.4391,-6015.3873,4639.9807,10710.3025,,,
1780345371.809840,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.4063,2.059400,1028.9120,-5402.9890,9189.2260,327.4391,-6015.3873,4639.0147,10709.4736,,,
1780345371.898273,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.4944,2.058800,1030.7140,-5407.1940,9185.3540,329.2411,-6019.5923,4635.1427,10708.4474,,,
1780345371.986273,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.5826,2.058000,1025.3050,-5405.9920,9188.2550,323.8321,-6018.3903,4638.0437,10709.8100,,,
1780345372.074074,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.6707,2.057800,1031.9160,-5402.3860,9183.4180,330.4431,-6014.7843,4633.2067,10704.4753,,,
1780345372.162447,session_20260601_160931,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-8.0100,0.7587,2.057600,1029.5120,-5407.7970,9180.5120,328.0391,-6020.1953,4630.3007,10704.4834,,,
