time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781107742.760567,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.976800,2.00000,1.976800,-0.023200,nan,1.9800,1.9800,,-3.3500,0.8896,-528.2780,5914.4400,3424.7850,-528.2780,5914.4400,3424.7850,-89.3157,2358.8899,1867.9038,6854.8399,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107742.849619,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.978700,2.00000,1.978700,-0.021300,nan,1.9800,1.9800,,-3.3500,0.9774,-525.8740,5915.6400,3422.8470,-525.8740,5915.6400,3422.8470,-86.9117,2360.0899,1865.9658,6854.7226,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107742.941006,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.977800,2.00000,1.977800,-0.022200,nan,1.9800,1.9800,,-3.3500,1.0659,-531.8840,5911.4340,3435.4320,-531.8840,5911.4340,3435.4320,-92.9217,2355.8839,1878.5508,6857.8528,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107743.025565,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.976900,2.00000,1.976900,-0.023100,nan,1.9800,1.9800,,-3.3500,1.1574,-534.2890,5916.2420,3429.6240,-534.2890,5916.2420,3429.6240,-95.3267,2360.6919,1872.7428,6859.2787,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107743.114839,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.976200,2.00000,1.976200,-0.023800,nan,1.9800,1.9800,,-3.3500,1.2424,-529.4800,5913.2370,3424.7850,-529.4800,5913.2370,3424.7850,-90.5177,2357.6869,1867.9038,6853.8947,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107743.202402,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.976400,2.00000,1.976400,-0.023600,nan,1.9800,1.9800,,-3.3500,1.3309,-535.4900,5916.2420,3427.6870,-535.4900,5916.2420,3427.6870,-96.5277,2360.6919,1870.8058,6858.4041,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107743.290402,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.976400,2.00000,1.976400,-0.023600,nan,1.9800,1.9800,,-3.3500,1.4191,-531.8840,5913.8390,3426.7200,-531.8840,5913.8390,3426.7200,-92.9217,2358.2889,1869.8388,6855.5672,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107743.379025,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.975400,2.00000,1.975400,-0.024600,nan,1.9800,1.9800,,-3.3500,1.5073,-537.8940,5913.8390,3420.9120,-537.8940,5913.8390,3420.9120,-98.9317,2358.2889,1864.0308,6853.1351,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107743.467368,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.975000,2.00000,1.975000,-0.025000,nan,1.9800,1.9800,,-3.3500,1.5957,-527.0760,5916.8420,3420.9120,-527.0760,5916.8420,3420.9120,-88.1137,2361.2919,1864.0308,6854.8864,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107743.556638,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.974900,2.00000,1.974900,-0.025100,nan,1.9800,1.9800,,-3.3500,1.6840,-532.4850,5913.8390,3420.9120,-532.4850,5913.8390,3420.9120,-93.5227,2358.2889,1864.0308,6852.7127,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
