phase,step,mark10_pos_mm,d_compression_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,Bmag_uT,note
approach,1,-0.0900,nan,0.02880,0.00563,13,-838.2971,6061.3356,1880.6677,6401.5188,baseline_N=0.00000;dF_base_N=0.02880;dF_step_N=nan;slope_N_per_mm=nan;change_point=False
approach,2,-0.1900,nan,0.06850,0.00460,12,-842.8143,6103.0368,1892.1586,6444.9716,baseline_N=0.02880;dF_base_N=0.03970;dF_step_N=0.03970;slope_N_per_mm=0.39700;change_point=False
approach,3,-0.2900,nan,0.10620,0.00289,12,-849.6773,6173.8773,1911.9558,6518.7642,baseline_N=0.04865;dF_base_N=0.05755;dF_step_N=0.03770;slope_N_per_mm=0.37700;change_point=False
approach,4,-0.3900,nan,0.15865,0.00489,12,-859.9137,6270.0369,1943.3379,6620.3758,baseline_N=0.06850;dF_base_N=0.09015;dF_step_N=0.05245;slope_N_per_mm=0.52450;change_point=True
probe,1,-0.4700,0.0800,0.20390,0.00623,17,-870.8244,6388.2035,1983.9444,6745.6293,
probe,2,-0.5700,0.1800,0.26420,0.00549,17,-884.4787,6541.6905,2036.4589,6908.1967,
probe,3,-0.6800,0.2900,0.33100,0.00326,17,-898.6354,6707.5465,2088.1463,7082.3076,
probe,4,-0.7700,0.3800,0.39570,0.00385,17,-913.3507,6885.7749,2139.0862,7267.9980,
probe,5,-0.8800,0.4900,0.47470,0.00326,17,-929.3100,7076.9144,2196.1830,7467.9016,
probe,6,-0.9700,0.5800,0.54830,0.00638,17,-944.0993,7271.6501,2251.3400,7670.5118,
probe,7,-1.0700,0.6800,0.63410,0.00474,17,-958.5469,7471.3822,2309.0025,7878.5695,
probe,8,-1.1700,0.7800,0.72950,0.00297,17,-973.8429,7672.3403,2367.1394,8088.0483,
probe,9,-1.2700,0.8800,0.82780,0.00430,17,-988.2669,7886.6846,2420.3793,8308.7124,
probe,10,-1.3700,0.9800,0.93890,0.00326,17,-999.5916,8115.7719,2477.3775,8544.1405,
probe,11,-1.4800,1.0900,1.06450,0.00319,16,-1010.0090,8350.3858,2535.1728,8784.9964,
probe,12,-1.5700,1.1800,1.19890,0.00645,16,-1021.3337,8589.0188,2595.9100,9030.6764,
probe,13,-1.6700,1.2800,1.34790,0.00741,17,-1029.1940,8831.8346,2658.5832,9280.5500,
probe,14,-1.7700,1.3800,1.50330,0.00549,17,-1038.1547,9087.7549,2728.6369,9545.1828,
probe,15,-1.8800,1.4900,1.67750,0.00578,17,-1047.2593,9346.5609,2802.8341,9813.8082,
probe,16,-1.9700,1.5800,1.87040,0.00726,17,-1057.0499,9607.6436,2878.5221,10085.1405,
probe,17,-2.0700,1.6800,2.08810,0.00460,17,-1066.9510,9896.7585,2946.0981,10380.9299,
probe,18,-2.1800,1.7900,2.33880,0.00741,17,-1076.3549,10199.5445,3005.2032,10687.3989,
