trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,1,0.0000,0.0000,0.1500,-0.06730,0.00082,24,181.8248,-1515.3436,538.0767,0.2855,0.4299,0.5841,-320.4662,1376.2715,-1694.0889,1618.2871
2,2,0.4480,0.4400,-0.2900,-0.05345,0.00104,24,215.0215,-1561.5912,612.2700,0.5272,0.4802,0.6211,-287.2696,1330.0239,-1619.8956,1691.0576
2,3,0.8960,0.8900,-0.7400,-0.04675,0.00067,24,249.2933,-1610.6346,690.6469,0.3876,0.4334,0.5308,-252.9978,1280.9805,-1541.5187,1770.1085
2,4,1.3440,1.3200,-1.1700,-0.03905,0.00185,24,288.3063,-1672.7347,782.6384,0.3632,0.3379,0.5386,-213.9847,1218.8805,-1449.5272,1869.1401
2,5,1.7920,1.7800,-1.6300,-0.03095,0.00096,24,334.4084,-1750.1149,890.0444,0.3832,0.4804,0.6818,-167.8826,1141.5002,-1342.1212,1991.7104
2,6,2.2400,2.2200,-2.0700,-0.02550,0.00119,24,384.0520,-1842.5409,1010.0342,0.4085,0.5460,0.4344,-118.2391,1049.0742,-1222.1314,2136.0295
2,7,2.6880,2.6800,-2.5300,-0.02010,0.00119,23,438.7236,-1956.9845,1147.0060,0.4628,0.4675,0.5946,-63.5674,934.6306,-1085.1597,2310.3873
2,8,3.1360,3.1300,-2.9800,-0.01175,0.00111,24,497.3411,-2098.4086,1300.0868,0.3058,0.4802,0.5014,-4.9500,793.2065,-932.0788,2518.1129
2,9,3.5840,3.5600,-3.4100,-0.00395,0.00126,24,553.8585,-2242.8324,1452.3576,0.4970,0.4655,0.5923,51.5675,648.7827,-779.8080,2728.8091
2,10,4.0320,4.0200,-3.8700,0.01120,0.00119,24,597.6846,-2417.0803,1593.2331,0.4517,0.4574,0.6268,95.3935,474.5348,-638.9325,2955.9932
2,11,4.4800,4.4600,-4.3100,0.03100,0.00163,23,628.5436,-2604.0810,1708.0762,0.3766,0.5380,0.6247,126.2526,287.5341,-524.0894,3177.0788
