trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,1,0.0000,0.0000,-3.1700,-0.03690,0.00104,24,557.1499,-2408.1720,1763.5704,18.3683,193.2178,190.4342,54.8588,483.4431,-468.5952,3036.4270
1,2,0.4480,0.4400,-3.6100,-0.02540,0.00119,23,611.2368,-2298.8868,1678.4487,0.3913,0.4018,0.6616,108.9457,592.7283,-553.7169,2911.3023
1,3,0.8960,0.8800,-4.0500,0.00355,0.00148,24,657.8672,-2417.2824,1808.1713,0.4912,0.3502,0.6842,155.5762,474.3327,-423.9943,3089.5836
1,4,1.3440,1.3300,-4.5000,0.03250,0.00111,24,684.8020,-2572.4608,1921.8271,0.3402,0.5081,0.4242,182.5110,319.1543,-310.3385,3283.2800
1,5,1.7920,1.7900,-4.9600,0.07255,0.00111,24,712.4021,-2787.7759,2012.7348,0.3342,0.5873,0.7856,210.1110,103.8393,-219.4308,3511.4544
1,6,2.2400,2.2300,-5.4000,0.12475,0.00193,24,742.1803,-3061.8651,2117.2050,0.4053,0.4889,0.6147,239.8893,-170.2500,-114.9606,3795.8407
1,7,2.6880,2.6800,-5.8500,0.18415,0.00163,24,770.6149,-3384.6583,2237.6999,0.3379,0.7003,0.6166,268.3239,-493.0432,5.5343,4130.0194
1,8,3.1360,3.1200,-6.2900,0.26445,0.00297,24,786.0259,-3772.9694,2361.0257,0.2920,0.5972,0.6822,283.7348,-881.3543,128.8601,4519.6878
1,9,3.5840,3.5600,-6.7300,0.38365,0.00141,24,799.1020,-4233.3589,2497.9766,0.3550,0.5012,0.6313,296.8110,-1341.7437,265.8110,4979.9376
1,10,4.0320,4.0200,-7.1900,0.57905,0.00289,24,829.0629,-4842.9590,2698.3842,0.3383,0.6083,0.6346,326.7718,-1951.3439,466.2186,5605.6110
1,11,4.4800,4.4600,-7.6300,0.88370,0.00452,24,855.3455,4221.7762,2980.9140,0.4179,0.8928,0.7023,353.0544,7113.3913,748.7484,5238.4023
