trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,1,0.0000,0.0000,0.1900,-0.06470,0.00156,24,179.8561,-1510.6748,543.4210,0.5072,0.3745,0.5526,-322.4349,1380.9404,-1688.7447,1615.4853
3,2,0.4480,0.4400,-0.2500,-0.05210,0.00133,23,211.9936,-1556.2935,615.6577,0.3687,0.4690,0.7223,-290.2975,1335.3216,-1616.5079,1687.0167
3,3,0.8960,0.8900,-0.7000,-0.04370,0.00089,24,246.3622,-1609.1999,694.9936,0.4400,0.3483,0.5356,-255.9288,1282.4153,-1537.1720,1770.0945
3,4,1.3440,1.3200,-1.1300,-0.03705,0.00104,24,285.1623,-1674.8060,786.6208,0.2723,0.3953,0.5047,-217.1288,1216.8092,-1445.5448,1872.1818
3,5,1.7920,1.7800,-1.5900,-0.03035,0.00089,24,330.5801,-1755.6780,894.3370,0.4128,0.3670,0.7431,-171.7110,1135.9371,-1337.8286,1997.8807
3,6,2.2400,2.2200,-2.0300,-0.02480,0.00104,24,380.0215,-1843.6760,1010.9390,0.3259,0.5009,0.6916,-122.2695,1047.9392,-1221.2267,2136.7159
3,7,2.6880,2.6900,-2.5000,-0.01840,0.00119,24,434.2238,-1959.2999,1147.5742,0.4492,0.3474,0.7129,-68.0672,932.3153,-1084.5914,2311.7813
3,8,3.1360,3.1200,-2.9300,-0.01115,0.00119,24,491.7910,-2096.1586,1296.8253,0.3640,0.4781,0.8188,-10.5000,795.4566,-935.3403,2513.4628
3,9,3.5840,3.5600,-3.3700,-0.00320,0.00104,24,548.6020,-2239.4281,1445.9920,0.4967,0.4697,0.5036,46.3110,652.1870,-786.1737,2721.5611
3,10,4.0320,4.0200,-3.8300,0.01085,0.00156,24,591.7107,-2405.7390,1583.0898,0.3174,0.4551,0.6787,89.4197,485.8762,-649.0758,2940.0467
3,11,4.4800,4.4600,-4.2700,0.03290,0.00082,24,623.1977,-2588.1063,1700.2392,0.4376,0.4775,0.5308,120.9067,303.5088,-531.9264,3158.7154
